ortholog	gene id	sequence id of ingroup best hit	taxonomy id of ingroup best hit	evalue of ingroup best hit	sequence id of outgroup best hit	taxonomy id of outgroup best hit	evalue of outgroup best hit	alien index	outgroup percentage	HGT or not
OG226104	Metschnikowia_borealis@Seq_486	KNE68101.1-578462-Allomyces_macrogy-other_Fung	578462	8e-27	XP_018012850.1-294128-Hyalella_azteca-Metazoa	294128	5e-56	67.24497132607306	92.8909952606635	Yes
OG1970	Metschnikowia_borealis@Seq_4645	KHN96943.1-1081103-Metarhizium_album-Sordariomy	1081103	3e-60	KKF18348.1-215358-Larimichthys_croc-Metazoa	215358	8e-82	49.67604279285729	95.3333333333333	Yes
OG4485	Metschnikowia_borealis@Seq_4839	na	na	1	KDR12733.1-136037-Zootermopsis_neva-Metazoa	136037	3e-45	102.51771689606394	100.0	Yes
OG16703	Metschnikowia_hawaiiensis@Seq_4869	XP_754717.1-330879-Aspergillus_fumig-Eurotiomyc	330879	4e-27	WP_011162466.1-33959-Lactobacillus_joh-Firmicutes	33959	1e-68	95.79228317387577	92.6666666666667	Yes
OG62144	Metschnikowia_hawaiiensis@Seq_3291	EQK97398.1-911162-Ophiocordyceps_si-Sordariomy	911162	3e-44	EMC87887.1-8932-Columba_livia-Metazoa	8932	1e-90	107.01752656639421	90.4761904761905	Yes
OG36097	yHMPu5000034760_Lipomyces_kononenkoae@Seq_1497	XP_018138429.1-1380566-Pochonia_chlamydo-Sordario	1380566	1e-06	WP_030987662.1-1463888-Streptomyces_sp_N-Actinoba	1463888	9e-121	262.600061116979	99.0	Yes
OG18288	yHMPu5000034760_Lipomyces_kononenkoae@Seq_7184	KGQ06056.1-1245745-Beauveria_bassian-Sordariomy	1245745	1e-67	WP_048645387.1-1670619-Nitratireductor_s-Proteoba	1670619	3e-144	176.20043987187339	99.6666666666667	Yes
OG20878	yHMPu5000034760_Lipomyces_kononenkoae@Seq_3822	OBT55355.1-1622150-Pseudogymnoascus_-Leotiomyce	1622150	3e-23	OLB64160.1-1803495-Actinobacteria_ba-Actinobact	1803495	4e-163	322.0742309467146	98.6666666666667	Yes
OG20884	yHMPu5000034760_Lipomyces_kononenkoae@Seq_4211	XP_018066115.1-149040-Phialocephala_sco-Leotiomyc	149040	2e-08	WP_056148179.1-1736227-Duganella_sp_Leaf-Proteoba	1736227	1e-39	72.07328506337535	98.3333333333333	Yes
OG13166	yHMPu5000034760_Lipomyces_kononenkoae@Seq_5670	KLO17015.1-27342-Schizopora_parado-Basidiomyc	27342	2e-35	WP_051678814.1-1117244-Xanthobacter_sp_9-Proteoba	1117244	1e-86	118.12498692325627	98.3333333333333	Yes
OG5636	yHMPu5000034760_Lipomyces_kononenkoae@Seq_3126	XP_018181782.1-33203-Purpureocillium_l-Sordariomy	33203	3e-54	WP_045009792.1-1615890-Bradyrhizobium_sp-Proteoba	1615890	2e-116	143.16574087373903	99.3333333333333	Yes
OG199328	yHMPu5000034760_Lipomyces_kononenkoae@Seq_3525	XP_007827518.1-1229662-Pestalotiopsis_fi-Sordario	1229662	6e-19	XP_013091805.1-6526-Biomphalaria_glab-Metazoa	6526	5e-41	50.83919360266297	90.4109589041096	Yes
OG4895	yHMPu5000034760_Lipomyces_kononenkoae@Seq_5511	XP_013018992.1-483514-Schizosaccharomyc-Taphrinom	483514	1e-69	WP_048838665.1-146475-Acetobacter_cibin-Proteobac	146475	2e-140	162.79039442201733	93.6666666666667	Yes
OG20490	yHMPu5000034760_Lipomyces_kononenkoae@Seq_7082	KXS14584.1-1344416-Gonapodya_prolife-other_Fung	1344416	1e-57	WP_047857086.1-48-Archangium_gephyr-Proteobact	48	1e-82	57.56462732485116	97.6666666666667	Yes
OG5636	yHMPu5000034760_Lipomyces_kononenkoae@Seq_5325	XP_018181782.1-33203-Purpureocillium_l-Sordariomy	33203	2e-54	WP_045009792.1-1615890-Bradyrhizobium_sp-Proteoba	1615890	1e-116	143.45342294619076	99.3333333333333	Yes
OG53895	yHMPu5000034760_Lipomyces_kononenkoae@Seq_3810	XP_017997276.1-1664694-Phialophora_attae-Eurotiom	1664694	2e-21	WP_027043260.1-1380350-Mesorhizobium_sp_-Proteoba	1380350	1e-41	46.74484904044086	100.0	Yes
OG11084	yHMPu5000034760_Lipomyces_kononenkoae@Seq_5446	XP_014657203.1-84753-Moesziomyces_anta-Basidiomyc	84753	1e-55	SDG70229.1-440168-Pelagibacterium_l-Proteobact	440168	9e-118	142.8656362812887	99.0	Yes
OG15155	yHMPu5000034760_Lipomyces_kononenkoae@Seq_1689	CZT45969.1-38038-Rhynchosporium_se-Leotiomyce	38038	7e-31	WP_020698658.1-445220-Reyranella_massil-Proteobac	445220	2e-55	56.51480520035247	99.3333333333333	Yes
OG16495	yHMPu5000034760_Lipomyces_kononenkoae@Seq_233	CEL02292.1-454130-Aspergillus_calid-Eurotiomyc	454130	4e-18	WP_028204461.1-392320-Paraburkholderia_-Proteobac	392320	6e-86	156.17032121548695	99.0	Yes
OG9872	yHMPu5000034760_Lipomyces_kononenkoae@Seq_668	KFZ13515.1-1420914-Pseudogymnoascus_-Leotiomyce	1420914	6e-57	XP_012487550.1-29730-Gossypium_raimond-Streptophy	29730	1e-98	96.19774828198393	99.3333333333333	Yes
OG21235	Hanseniaspora_uvarum@Seq_3527	na	na	1	KYB25200.1-7070-Tribolium_castane-Metazoa	7070	3e-24	54.16342994318899	94.4444444444444	Yes
OG10611	yHMPu5000041833_Candida_tammaniensis@Seq_1823	GAQ33446.1-5061-Aspergillus_niger-Eurotiomyc	5061	2e-22	WP_063735309.1-1841249-Streptomyces_sp_R-Actinoba	1841249	2e-54	73.68272297580945	90.0	Yes
OG10716	yHMPu5000041833_Candida_tammaniensis@Seq_223	XP_013953957.1-413071-Trichoderma_viren-Sordariom	413071	1e-22	WP_048292101.1-573-Klebsiella_pneumo-Proteobact	573	3e-54	72.58411068714135	93.3333333333333	Yes
OG9976	yHMPu5000041833_Candida_tammaniensis@Seq_4624	ESA04096.1-747089-Rhizophagus_irreg-other_Fung	747089	2e-30	SEQ89438.1-137733-Granulicatella_ba-Firmicutes	137733	3e-65	80.18501314668345	92.6666666666667	Yes
OG8322	yHMPu5000041833_Candida_tammaniensis@Seq_2663	KPM44821.1-78410-Neonectria_ditiss-Sordariomy	78410	9e-117	WP_053145469.1-182337-Erwinia_billingia-Proteobac	182337	6e-152	80.99594336289977	92.0	Yes
OG119789	yHMPu5000041833_Candida_tammaniensis@Seq_709	GAQ45000.1-5061-Aspergillus_niger-Eurotiomyc	5061	6e-30	WP_064318330.1-47735-Bibersteinia_treh-Proteobact	47735	4e-89	136.25798559475686	94.6666666666667	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	XP_018148114.1-1380566-Pochonia_chlamydo-Sordario	1380566	3e-78	WP_039732941.1-66229-Komagataeibacter_-Proteobact	66229	1e-130	120.8330371243585	97.3333333333333	Yes
OG22344	yHMPu5000034629_Pichia_exigua@Seq_1475	KGQ13902.1-1245745-Beauveria_bassian-Sordariomy	1245745	6e-11	SEV96551.1-356305-Chryseobacterium_-BacteroChl	356305	5e-45	78.4702147185915	97.3333333333333	Yes
OG4895	yHMPu5000034629_Pichia_exigua@Seq_3201	NP_001018772.1-284812-Schizosaccharomyc-Taphrinom	284812	3e-74	WP_000117606.1-909768-Acinetobacter_cal-Proteobac	909768	1e-128	125.4382073103466	91.0	Yes
OG5438	yHMPu5000034629_Pichia_exigua@Seq_1168	KGQ11298.1-1245745-Beauveria_bassian-Sordariomy	1245745	2e-172	GAM54832.1-1481914-Vibrio_ishigakens-Proteobact	1481914	0.0	65.16552978439324	92.0	Yes
OG7959	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_4361	XP_016605628.1-645134-Spizellomyces_pun-other_Fun	645134	4e-39	WP_055984653.1-1736367-Chryseobacterium_-BacteroC	1736367	2e-64	58.257774505411106	90.0	Yes
OG24550	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_208	OJD16425.1-1447872-Emmonsia_pasteuri-Eurotiomyc	1447872	2e-09	WP_051318822.1-356302-Chitinimonas_kore-Proteobac	356302	4e-124	264.1041385137553	99.0	Yes
OG6241	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_182	KEQ64916.1-1043003-Aureobasidium_mel-Dothideomy	1043003	3e-61	SEP21043.1-1333845-Paenibacillus_sop-Firmicutes	1333845	2e-112	117.83730485080451	96.6666666666667	Yes
OG24550	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_715	OAX83816.1-1658172-Emmonsia_sp_CAC_2-Eurotiomyc	1658172	8e-08	WP_051318822.1-356302-Chitinimonas_kore-Proteobac	356302	1e-128	278.38965270096537	98.4210526315789	Yes
OG15136	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_2346	XP_018257555.1-426428-Fusarium_oxysporu-Sordariom	426428	7e-11	WP_072572470.1-364410-Granulibacter_bet-Proteobac	364410	3e-162	348.53764690248806	95.0191570881226	Yes
OG36298	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_1175	OAA65334.1-1081102-Sporothrix_insect-Sordariomy	1081102	7e-36	CDS45317.1-5823-Plasmodium_berghe-Apicomplex	5823	5e-161	288.1596088608769	94.6666666666667	Yes
OG30393	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_3927	EKG11146.1-1126212-Macrophomina_phas-Dothideomy	1126212	1e-07	WP_062378307.1-1638984-Lysinimicrobium_p-Actinoba	1638984	2e-46	89.10767144620783	93.3333333333333	Yes
OG14586	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_4937	KLO05689.1-27342-Schizopora_parado-Basidiomyc	27342	2e-78	WP_010668792.1-435-Acetobacter_aceti-Proteobact	435	0.0	281.60852852583355	97.3333333333333	Yes
OG5631	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_5103	KXS16442.1-1344416-Gonapodya_prolife-other_Fung	1344416	4e-51	WP_034338344.1-1208583-Commensalibacter_-Proteoba	1208583	2e-84	76.67845524936344	91.6666666666667	Yes
OG9118	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_1395	KXT02611.1-113226-Pseudocercospora_-Dothideomy	113226	2e-48	WP_048637077.1-1109412-Brenneria_goodwin-Proteoba	1109412	0.0	350.6860813156549	90.3333333333333	Yes
OG24550	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_652	GAD94317.1-1356009-Byssochlamys_spec-Eurotiomyc	1356009	2e-12	WP_051318822.1-356302-Chitinimonas_kore-Proteobac	356302	4e-130	271.01189379273745	97.6666666666667	Yes
OG11084	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_2134	XP_007880990.1-1277687-Anthracocystis_fl-Basidiom	1277687	3e-52	SFJ86605.1-390807-Jannaschia_pohang-Proteobact	390807	1e-80	65.57099489250139	100.0	Yes
OG11222	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_753	XP_018136130.1-1380566-Pochonia_chlamydo-Sordario	1380566	4e-61	WP_009099866.1-595460-Rhodopirellula_sp-Planctomy	595460	7e-129	156.01617053565965	95.6666666666667	Yes
OG17790	Metschnikowia_hamakuensis@Seq_3351	KIJ29096.1-990650-Sphaerobolus_stel-Basidiomyc	990650	1e-21	OCA42035.1-8364-Xenopus_tropicali-Metazoa	8364	3e-76	125.54356782600439	98.6254295532646	Yes
OG8095	yHMPu5000034890_Ogataea_ramenticola@Seq_177	EQK99264.1-911162-Ophiocordyceps_si-Sordariomy	911162	5e-36	KOC64543.1-597456-Habropoda_laborio-Metazoa	597456	5e-67	71.38013788281542	95.6666666666667	Yes
OG7525	yHMPu5000034890_Ogataea_ramenticola@Seq_5251	XP_007911356.1-1286976-Phaeoacremonium_m-Sordario	1286976	2e-141	WP_006541704.1-102897-Frankia_sp_EUN1f-Actinobact	102897	2e-172	71.3801378828154	93.6666666666667	Yes
OG9118	Candida_arabinofermentans@Seq_582	KXT02611.1-113226-Pseudocercospora_-Dothideomy	113226	2e-58	WP_048637077.1-1109412-Brenneria_goodwin-Proteoba	1109412	0.0	327.66023038571444	90.6666666666667	Yes
OG13157	Candida_arabinofermentans@Seq_2176	KFH74167.1-1069443-Mortierella_verti-other_Fung	1069443	4e-04	WP_008087437.1-380397-Streptococcus_ict-Firmicute	380397	2e-38	78.9810403423575	97.0	Yes
OG15183	Candida_arabinofermentans@Seq_470	na	na	1	WP_062549851.1-1727164-Pedobacter_sp_PAC-BacteroC	1727164	5e-75	171.08444406211933	96.6666666666667	Yes
OG4895	yHMPu5000034615_Saturnispora_zaruensis@Seq_3438	NP_001018772.1-284812-Schizosaccharomyc-Taphrinom	284812	2e-67	WP_011146520.1-29488-Photorhabdus_lumi-Proteobact	29488	9e-123	127.4406878108903	93.6666666666667	Yes
OG11135	yHMPu5000034615_Saturnispora_zaruensis@Seq_3882	XP_016601991.1-27334-Penicillium_expan-Eurotiomyc	27334	8e-123	WP_004823466.1-106649-Acinetobacter_gui-Proteobac	106649	8e-165	96.70857390574992	97.0	Yes
OG9118	yHMPu5000034615_Saturnispora_zaruensis@Seq_4403	KXT02611.1-113226-Pseudocercospora_-Dothideomy	113226	1e-48	WP_048637077.1-1109412-Brenneria_goodwin-Proteoba	1109412	1e-179	301.63864718222	90.3333333333333	Yes
OG224447	Saccharomyces_mikatae@Seq_4779	CEJ82035.1-1531966-Torrubiella_hemip-Sordariomy	1531966	7e-05	WP_052148849.1-40324-Stenotrophomonas_-Proteobact	40324	2e-100	219.99834680292972	100.0	Yes
OG11668	Saccharomyces_mikatae@Seq_2520	KGQ14046.1-1245745-Beauveria_bassian-Sordariomy	1245745	7e-48	SEN75785.1-1166340-Sphingomonas_sp_S-Proteobact	1166340	2e-94	107.17167724622148	92.0	Yes
OG41604	Saccharomyces_mikatae@Seq_3273	na	na	1	ALS36432.1-118060-Enterococcus_rota-Firmicutes	118060	7e-87	198.37899294142667	100.0	Yes
OG41738	Saccharomyces_mikatae@Seq_2832	na	na	1	WP_051645882.1-1417296-Defluviimonas_sp_-Proteoba	1417296	2e-42	96.01542672518997	99.3333333333333	Yes
OG11397	Kazachstania_naganishii@Seq_89	XP_001258215.1-331117-Aspergillus_fisch-Eurotiomy	331117	9e-17	XP_010366807.1-61622-Rhinopithecus_rox-Metazoa	61622	7e-168	347.9416634703818	93.3333333333333	Yes
OG33573	yHMPu5000035643_Yarrowia_bubula@Seq_1404	XP_018701680.1-1081104-Isaria_fumosorose-Sordario	1081104	3e-14	WP_064810384.1-379-Rhizobium-Proteobact	379	1e-66	120.83303712435848	99.0	Yes
OG8372	yHMPu5000035643_Yarrowia_bubula@Seq_4459	XP_016601865.1-27334-Penicillium_expan-Eurotiomyc	27334	1e-74	WP_049583941.1-287-Pseudomonas_aerug-Proteobact	287	6e-121	106.42973990149207	97.3333333333333	Yes
OG11440	yHMPu5000035643_Yarrowia_bubula@Seq_5509	KEQ59045.1-1043003-Aureobasidium_mel-Dothideomy	1043003	2e-05	WP_071413971.1-505697-Bacillus_sp_ES3-Firmicutes	505697	2e-46	94.40598881275588	98.6666666666667	Yes
OG20267	yHMPu5000035643_Yarrowia_bubula@Seq_2368	KXS12322.1-1344416-Gonapodya_prolife-other_Fung	1344416	2e-45	WP_071109735.1-1382803-Chromobacterium_a-Proteoba	1382803	4e-102	130.55420312010065	97.3333333333333	Yes
OG12303	yHMPu5000035643_Yarrowia_bubula@Seq_4156	KXS09690.1-1344416-Gonapodya_prolife-other_Fung	1344416	8e-90	WP_055895663.1-1736496-Leifsonia_sp_Root-Actinoba	1736496	3e-171	187.49022178552946	98.6666666666667	Yes
OG16459	yHMPu5000035643_Yarrowia_bubula@Seq_1914	KXS09069.1-1344416-Gonapodya_prolife-other_Fung	1344416	3e-36	WP_043862741.1-286-Pseudomonas-Proteobact	286	8e-78	95.72774465273818	97.3333333333333	Yes
OG15083	yHMPu5000035643_Yarrowia_bubula@Seq_6043	EKD03224.1-1220162-Trichosporon_asah-Basidiomyc	1220162	3e-21	WP_066890036.1-1805470-Clostridium_sp_Ma-Firmicut	1805470	7e-69	109.676786603327	98.0	Yes
OG15155	yHMPu5000035643_Yarrowia_bubula@Seq_4638	KIM98475.1-913774-Oidiodendron_maiu-Leotiomyce	913774	3e-29	SEW42675.1-29529-Chitinophaga_arve-BacteroChl	29529	4e-50	48.066604880423185	98.3333333333333	Yes
OG9081	yHMPu5000035643_Yarrowia_bubula@Seq_1821	XP_002582973.1-336963-Uncinocarpus_rees-Eurotiomy	336963	5e-83	SEC46999.1-77298-Pseudomonas_jesse-Proteobact	77298	5e-112	66.77496769682736	97.6666666666667	Yes
OG22389	yHMPu5000035643_Yarrowia_bubula@Seq_3824	ODM20998.1-573508-Aspergillus_crist-Eurotiomyc	573508	2e-60	WP_039048874.1-285-Comamonas_testost-Proteobact	285	6e-94	77.18928087312946	96.0	Yes
OG20300	yHMPu5000035643_Yarrowia_bubula@Seq_5176	na	na	1	WP_058618599.1-270351-Methylobacterium_-Proteobac	270351	6e-69	157.0866119473611	97.6666666666667	Yes
OG17223	yHMPu5000035643_Yarrowia_bubula@Seq_2467	XP_007719791.1-1182541-Capronia_coronata-Eurotiom	1182541	4e-20	WP_053238459.1-927083-Sandaracinus_amyl-Proteobac	927083	1e-110	208.618952730584	98.0	Yes
OG15300	yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_289	na	na	1	WP_004920570.1-588-Providencia_stuar-Proteobact	588	5e-41	92.79655090032178	92.0863309352518	Yes
OG9118	yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_924	KXT02611.1-113226-Pseudocercospora_-Dothideomy	113226	6e-44	WP_048637077.1-1109412-Brenneria_goodwin-Proteoba	1109412	3e-155	256.28009250289904	90.3333333333333	Yes
OG5438	Saccharomyces_arboricola@Seq_3686	KGQ11298.1-1245745-Beauveria_bassian-Sordariomy	1245745	2e-164	WP_050288808.1-631-Yersinia_intermed-Proteobact	631	0.0	83.58621052834559	90.0	Yes
OG11668	Saccharomyces_arboricola@Seq_1631	KGQ14046.1-1245745-Beauveria_bassian-Sordariomy	1245745	4e-45	SEN75785.1-1166340-Sphingomonas_sp_S-Proteobact	1166340	5e-97	119.51128128437615	93.0	Yes
OG53587	yHMPu5000034709_Kluyveromyces_aestuarii@Seq_3365	na	na	1	WP_034615311.1-1485002-Acinetobacter_sp_-Proteoba	1485002	3e-58	132.45132310498653	100.0	Yes
OG4186	yHMPu5000034709_Kluyveromyces_aestuarii@Seq_1936	EXX63563.1-1432141-Rhizophagus_irreg-other_Fung	1432141	3e-54	WP_059214990.1-208962-Escherichia_alber-Proteobac	208962	2e-75	48.75975206098312	99.3333333333333	Yes
OG11325	yHMPu5000034709_Kluyveromyces_aestuarii@Seq_4631	XP_003335623.1-418459-Puccinia_graminis-Basidiomy	418459	4e-33	WP_054408281.1-1202724-Flavobacterium_ak-BacteroC	1202724	5e-59	59.64406886653097	96.6666666666667	Yes
OG36223	yHMPu5000034876_Tetrapisispora_iriomotensis@Seq_4537	XP_014581274.1-1276143-Metarhizium_majus-Sordario	1276143	6e-04	XP_011864196.1-411798-Vollenhovia_emery-Metazoa	411798	3e-25	49.047434133434905	92.8571428571429	Yes
OG18013	yHMPu5000035033_Candida_cretensis@Seq_4350	OCL09636.1-574774-Glonium_stellatum-Dothideomy	574774	2e-89	WP_038709272.1-1192124-Burkholderia_sp_l-Proteoba	1192124	4e-145	128.2516180271066	99.3333333333333	Yes
OG29158	yHMPu5000035033_Candida_cretensis@Seq_1112	XP_018062132.1-149040-Phialocephala_sco-Leotiomyc	149040	2e-45	WP_045420441.1-680-Vibrio_campbellii-Proteobact	680	4e-139	215.74985156088033	99.3333333333333	Yes
OG8167	yHMPu5000035033_Candida_cretensis@Seq_2369	KFZ18080.1-1420915-Pseudogymnoascus_-Leotiomyce	1420915	1e-84	WP_020419312.1-385957-Amycolatopsis_sp_-Actinobac	385957	2e-125	93.71284163219593	96.6666666666667	Yes
OG9118	yHMPu5000035689_Candida_mycetangii@Seq_3650	KXT02611.1-113226-Pseudocercospora_-Dothideomy	113226	8e-41	WP_048637077.1-1109412-Brenneria_goodwin-Proteoba	1109412	9e-146	241.6536517287184	90.3333333333333	Yes
OG15300	yHMPu5000035689_Candida_mycetangii@Seq_2338	na	na	1	WP_062160705.1-1721091-Chryseobacterium_-BacteroC	1721091	7e-41	92.46007866370056	92.4137931034483	Yes
OG5438	yHMPu5000035689_Candida_mycetangii@Seq_3550	KGQ11298.1-1245745-Beauveria_bassian-Sordariomy	1245745	4e-156	WP_015698068.1-34038-Rahnella_aquatili-Proteobact	34038	3e-179	53.247139211314845	93.6666666666667	Yes
OG9936	Geotrichum_candidum@Seq_5404	KXS20988.1-1344416-Gonapodya_prolife-other_Fung	1344416	4e-32	WP_018343585.1-29530-Cytophaga_auranti-BacteroChl	29530	7e-97	149.10841525667755	100.0	Yes
OG182287	Geotrichum_candidum@Seq_3353	na	na	1	CDO51865.1-927677-Synechocystis_sp_-Cyanobacte	927677	2e-50	114.43610746914234	100.0	Yes
OG11822	Geotrichum_candidum@Seq_5074	OAA33494.1-1081109-Aschersonia_aleyr-Sordariomy	1081109	6e-59	WP_006040417.1-59840-Paenibacillus_cur-Firmicutes	59840	2e-86	63.26840979950734	95.6666666666667	Yes
OG37756	Geotrichum_candidum@Seq_6713	XP_011124808.1-756982-Arthrobotrys_olig-other_Pez	756982	9e-08	WP_042969536.1-1428-Bacillus_thuringi-Firmicutes	1428	2e-33	59.06870472162741	97.3451327433628	Yes
OG9976	yHMPu5000035707_Candida_heveicola@Seq_2615	ESA04096.1-747089-Rhizophagus_irreg-other_Fung	747089	3e-23	WP_025730766.1-136492-Atopobacter_phoca-Firmicute	136492	2e-58	80.99594336289977	92.6666666666667	Yes
OG11023	yHMPu5000041862_Candida_golubevii@Seq_2245	na	na	1	XP_017165887.1-8081-Poecilia_reticula-Metazoa	8081	2e-71	162.7903944220173	100.0	Yes
OG13157	yHMPu5000034904_Ogataea_nonfermentans@Seq_5185	KZV67238.1-1314672-Peniophora_sp_CON-Basidiomyc	1314672	2e-04	WP_008087437.1-380397-Streptococcus_ict-Firmicute	380397	5e-47	98.09486826686981	96.6666666666667	Yes
OG13255	yHMPu5000034904_Ogataea_nonfermentans@Seq_3998	EXX52673.1-1432141-Rhizophagus_irreg-other_Fung	1432141	4e-16	XP_015060326.1-28526-Solanum_pennellii-Streptophy	28526	4e-47	71.38013788281542	95.8333333333333	Yes
OG20946	yHMPu5000034904_Ogataea_nonfermentans@Seq_843	XP_002340131.1-441959-Talaromyces_stipi-Eurotiomy	441959	2e-13	XP_006818189.1-10224-Saccoglossus_kowa-Metazoa	10224	5e-46	75.06901733692935	94.8275862068966	Yes
OG229581	Candida_boidinii_JCM9604@Seq_5356	na	na	1	WP_047878073.1-1195763-Photobacterium_aq-Proteoba	1195763	1e-26	59.86721241784519	100.0	Yes
OG12019	Candida_boidinii_JCM9604@Seq_4978	XP_013020919.1-653667-Schizosaccharomyc-Taphrinom	653667	9e-14	WP_046156317.1-1108595-Chromobacterium_v-Proteoba	1108595	3e-58	102.41235638040611	97.6666666666667	Yes
OG12019	Candida_boidinii_JCM9604@Seq_1478	XP_001731804.1-425265-Malassezia_globos-Basidiomy	425265	3e-17	WP_046156317.1-1108595-Chromobacterium_v-Proteoba	1108595	9e-59	95.60996161708181	98.3333333333333	Yes
OG10614	Candida_boidinii_JCM9604@Seq_4148	XP_014179196.1-1186058-Trichosporon_asah-Basidiom	1186058	9e-164	WP_066346644.1-28198-Arcobacter_cryaer-Proteobact	28198	0.0	85.09028792512191	93.6666666666667	Yes
OG9118	Candida_boidinii_JCM9604@Seq_1255	KXT02611.1-113226-Pseudocercospora_-Dothideomy	113226	7e-54	WP_048637077.1-1109412-Brenneria_goodwin-Proteoba	1109412	6e-176	281.06953202510084	90.3333333333333	Yes
OG133823	Candida_boidinii_JCM9604@Seq_724	XP_007840274.1-1229662-Pestalotiopsis_fi-Sordario	1229662	5e-11	SEA20485.1-408074-Chitinophaga_terr-BacteroChl	408074	2e-89	180.51792798540973	99.6466431095406	Yes
