complex type	sequence id	index	ortholog
Cdc48p-Npl4p-Vms1p AAA ATPase complex	Yarrowia_lipolytica@Seq_912	144_911	OG3688
Cdc73/Paf1 complex	Yarrowia_lipolytica@Seq_1835	144_1834	OG3293
Cdc73/Paf1 complex	Yarrowia_lipolytica@Seq_3337	144_3336	OG3086
Cdc73/Paf1 complex	Yarrowia_lipolytica@Seq_5522	144_5521	OG1903
Cdc73/Paf1 complex	Yarrowia_lipolytica@Seq_5899	144_5898	OG2301
Clr6 histone deacetylase complex I''	Yarrowia_lipolytica@Seq_5876	144_5875	OG3094
Ctf18 RFC-like complex	Yarrowia_lipolytica@Seq_124	144_123	OG2996
Ctf18 RFC-like complex	Yarrowia_lipolytica@Seq_1430	144_1429	OG2330
Ctf18 RFC-like complex	Yarrowia_lipolytica@Seq_2329	144_2328	OG4443
Ctf18 RFC-like complex	Yarrowia_lipolytica@Seq_3864	144_3863	OG2291
Cul2-RING ubiquitin ligase complex	Yarrowia_lipolytica@Seq_4706	144_4705	OG3051
Cul3-RING ubiquitin ligase complex	Yarrowia_lipolytica@Seq_4706	144_4705	OG3051
Cul4-RING E3 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_1261	144_1260	OG2623
Cul4-RING E3 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_2588	144_2587	OG142310
Cul4-RING E3 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_2820	144_2819	OG3229
Cul4-RING E3 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_2911	144_2910	OG3360
Cul4-RING E3 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_4706	144_4705	OG3051
Cul4-RING E3 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_5562	144_5561	OG7754
Cul4A-RING E3 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_5459	144_5458	OG3613
Cul7-RING ubiquitin ligase complex	Yarrowia_lipolytica@Seq_4706	144_4705	OG3051
Cul8-RING ubiquitin ligase complex	Yarrowia_lipolytica@Seq_2139	144_2138	OG2612
DASH complex	Yarrowia_lipolytica@Seq_1763	144_1762	OG20217
DASH complex	Yarrowia_lipolytica@Seq_1787	144_1786	OG23254
DASH complex	Yarrowia_lipolytica@Seq_2068	144_2067	OG3434
DASH complex	Yarrowia_lipolytica@Seq_3081	144_3080	OG5084
DASH complex	Yarrowia_lipolytica@Seq_3475	144_3474	OG4135
DASH complex	Yarrowia_lipolytica@Seq_5395	144_5394	OG4359
DASH complex	Yarrowia_lipolytica@Seq_5711	144_5710	OG23660
DASH complex	Yarrowia_lipolytica@Seq_752	144_751	OG23603
DNA ligase IV complex	Yarrowia_lipolytica@Seq_2064	144_2063	OG2668
DNA ligase IV complex	Yarrowia_lipolytica@Seq_4406	144_4405	OG20352
DNA polymerase complex	Yarrowia_lipolytica@Seq_1839	144_1838	OG3603
DNA replication factor A complex	Yarrowia_lipolytica@Seq_2820	144_2819	OG3229
DNA replication factor A complex	Yarrowia_lipolytica@Seq_3425	144_3424	OG4607
DNA replication factor A complex	Yarrowia_lipolytica@Seq_4628	144_4627	OG4022
DNA replication factor A complex	Yarrowia_lipolytica@Seq_4879	144_4878	OG2220
DNA replication factor C complex	Yarrowia_lipolytica@Seq_124	144_123	OG2996
DNA replication factor C complex	Yarrowia_lipolytica@Seq_1430	144_1429	OG2330
DNA replication factor C complex	Yarrowia_lipolytica@Seq_2442	144_2441	OG2839
DNA replication factor C complex	Yarrowia_lipolytica@Seq_3864	144_3863	OG2291
DNA replication preinitiation complex	Yarrowia_lipolytica@Seq_2204	144_2203	OG1824
DNA replication preinitiation complex	Yarrowia_lipolytica@Seq_2314	144_2313	OG4420
DNA replication preinitiation complex	Yarrowia_lipolytica@Seq_3358	144_3357	OG23447
DNA replication preinitiation complex	Yarrowia_lipolytica@Seq_3606	144_3605	OG20306
DSIF complex	Yarrowia_lipolytica@Seq_4708	144_4707	OG4093
DSIF complex	Yarrowia_lipolytica@Seq_6054	144_6053	OG2342
DUBm complex	Yarrowia_lipolytica@Seq_1993	144_1992	OG4031
Dbf4-dependent protein kinase complex	Yarrowia_lipolytica@Seq_6151	144_6150	OG14391
Derlin-1 retrotranslocation complex	Yarrowia_lipolytica@Seq_1116	144_1115	OG11683
Derlin-1 retrotranslocation complex	Yarrowia_lipolytica@Seq_1714	144_1713	OG5386
Dsc E3 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_6009	144_6008	OG3532
Dsl1/NZR complex	Yarrowia_lipolytica@Seq_4369	144_4368	OG4784
EGO complex	Yarrowia_lipolytica@Seq_453	144_452	OG2931
EGO complex	Yarrowia_lipolytica@Seq_744	144_743	OG2929
EKC/KEOPS complex	Yarrowia_lipolytica@Seq_2648	144_2647	OG4626
EKC/KEOPS complex	Yarrowia_lipolytica@Seq_2807	144_2806	OG2613
EKC/KEOPS complex	Yarrowia_lipolytica@Seq_5362	144_5361	OG2631
EKC/KEOPS complex	Yarrowia_lipolytica@Seq_5426	144_5425	OG3997
ER membrane protein complex	Yarrowia_lipolytica@Seq_1492	144_1491	OG6931
ER membrane protein complex	Yarrowia_lipolytica@Seq_1856	144_1855	OG3931
ER membrane protein complex	Yarrowia_lipolytica@Seq_3067	144_3066	OG3249
ER membrane protein complex	Yarrowia_lipolytica@Seq_4773	144_4772	OG3977
ER membrane protein complex	Yarrowia_lipolytica@Seq_5433	144_5432	OG2943
ER membrane protein complex	Yarrowia_lipolytica@Seq_6311	144_6310	OG2344
ERCC4-ERCC1 complex	Yarrowia_lipolytica@Seq_6102	144_6101	OG3166
ERMES complex	Yarrowia_lipolytica@Seq_1058	144_1057	OG4455
ERMES complex	Yarrowia_lipolytica@Seq_1168	144_1167	OG3220
ERMES complex	Yarrowia_lipolytica@Seq_5106	144_5105	OG2368
ERMES complex	Yarrowia_lipolytica@Seq_5215	144_5214	OG3314
ERMES complex	Yarrowia_lipolytica@Seq_5587	144_5586	OG3220
ESCRT I complex	Yarrowia_lipolytica@Seq_2965	144_2964	OG5320
ESCRT I complex	Yarrowia_lipolytica@Seq_6070	144_6069	OG3628
ESCRT II complex	Yarrowia_lipolytica@Seq_1732	144_1731	OG3705
ESCRT II complex	Yarrowia_lipolytica@Seq_2594	144_2593	OG3324
ESCRT II complex	Yarrowia_lipolytica@Seq_4895	144_4894	OG2800
ESCRT III complex	Yarrowia_lipolytica@Seq_1251	144_1250	OG2559
ESCRT III complex	Yarrowia_lipolytica@Seq_338	144_337	OG4051
ESCRT III complex	Yarrowia_lipolytica@Seq_5355	144_5354	OG2203
ESCRT-0 complex	Yarrowia_lipolytica@Seq_1911	144_1910	OG3181
Elg1 RFC-like complex	Yarrowia_lipolytica@Seq_124	144_123	OG2996
Elg1 RFC-like complex	Yarrowia_lipolytica@Seq_1430	144_1429	OG2330
Elg1 RFC-like complex	Yarrowia_lipolytica@Seq_3864	144_3863	OG2291
Elongator holoenzyme complex	Yarrowia_lipolytica@Seq_3593	144_3592	OG2414
Elongator holoenzyme complex	Yarrowia_lipolytica@Seq_3991	144_3990	OG2225
Elongator holoenzyme complex	Yarrowia_lipolytica@Seq_4949	144_4948	OG1885
Elongator holoenzyme complex	Yarrowia_lipolytica@Seq_569	144_568	OG3591
Elongator holoenzyme complex	Yarrowia_lipolytica@Seq_904	144_903	OG2632
F-actin capping protein complex	Yarrowia_lipolytica@Seq_714	144_713	OG3889
F-actin capping protein complex	Yarrowia_lipolytica@Seq_844	144_843	OG4064
FACT complex	Yarrowia_lipolytica@Seq_1371	144_1370	OG2063
FACT complex	Yarrowia_lipolytica@Seq_3388	144_3387	OG2189
FACT complex	Yarrowia_lipolytica@Seq_5360	144_5359	OG2169
FANCM-MHF complex	Yarrowia_lipolytica@Seq_563	144_562	OG4681
Fanconi anaemia nuclear complex	Yarrowia_lipolytica@Seq_563	144_562	OG4681
G protein-coupled receptor homodimeric complex	Yarrowia_lipolytica@Seq_5873	144_5872	OG3233
GARP complex	Yarrowia_lipolytica@Seq_2438	144_2437	OG3536
GARP complex	Yarrowia_lipolytica@Seq_3698	144_3697	OG2122
GARP complex	Yarrowia_lipolytica@Seq_3889	144_3888	OG1958
GATOR1 complex	Yarrowia_lipolytica@Seq_1545	144_1544	OG3561
GATOR1 complex	Yarrowia_lipolytica@Seq_1572	144_1571	OG1504
GET complex	Yarrowia_lipolytica@Seq_1428	144_1427	OG3284
GID complex	Yarrowia_lipolytica@Seq_2110	144_2109	OG4542
GID complex	Yarrowia_lipolytica@Seq_3970	144_3969	OG5233
GID complex	Yarrowia_lipolytica@Seq_4440	144_4439	OG4717
GINS complex	Yarrowia_lipolytica@Seq_2066	144_2065	OG3307
GINS complex	Yarrowia_lipolytica@Seq_2501	144_2500	OG3537
GINS complex	Yarrowia_lipolytica@Seq_3691	144_3690	OG3283
GPI-anchor transamidase complex	Yarrowia_lipolytica@Seq_2566	144_2565	OG2872
GPI-anchor transamidase complex	Yarrowia_lipolytica@Seq_3530	144_3529	OG1948
GPI-anchor transamidase complex	Yarrowia_lipolytica@Seq_3608	144_3607	OG2254
GPI-anchor transamidase complex	Yarrowia_lipolytica@Seq_5944	144_5943	OG2568
Golgi transport complex	Yarrowia_lipolytica@Seq_1631	144_1630	OG3868
Golgi transport complex	Yarrowia_lipolytica@Seq_2760	144_2759	OG2115
Golgi transport complex	Yarrowia_lipolytica@Seq_4827	144_4826	OG2659
Golgi transport complex	Yarrowia_lipolytica@Seq_682	144_681	OG3765
Gtr1-Gtr2 GTPase complex	Yarrowia_lipolytica@Seq_453	144_452	OG2931
Gtr1-Gtr2 GTPase complex	Yarrowia_lipolytica@Seq_744	144_743	OG2929
HIR complex	Yarrowia_lipolytica@Seq_2210	144_2209	OG4087
HIR complex	Yarrowia_lipolytica@Seq_916	144_915	OG3301
HOPS complex	Yarrowia_lipolytica@Seq_2956	144_2955	OG2415
HOPS complex	Yarrowia_lipolytica@Seq_3254	144_3253	OG2511
HOPS complex	Yarrowia_lipolytica@Seq_4670	144_4669	OG2803
HOPS complex	Yarrowia_lipolytica@Seq_5268	144_5267	OG1889
HULC complex	Yarrowia_lipolytica@Seq_2977	144_2976	OG3492
Holliday junction resolvase complex	Yarrowia_lipolytica@Seq_4039	144_4038	OG20194
Holliday junction resolvase complex	Yarrowia_lipolytica@Seq_5857	144_5856	OG3963
Hrd1p ubiquitin ligase ERAD-L complex	Yarrowia_lipolytica@Seq_2724	144_2723	OG4734
Hrd1p ubiquitin ligase ERAD-L complex	Yarrowia_lipolytica@Seq_3093	144_3092	OG3886
Hrd1p ubiquitin ligase ERAD-L complex	Yarrowia_lipolytica@Seq_3837	144_3836	OG4220
Hrd1p ubiquitin ligase ERAD-L complex	Yarrowia_lipolytica@Seq_5507	144_5506	OG2998
Hrd1p ubiquitin ligase complex	Yarrowia_lipolytica@Seq_1116	144_1115	OG11683
Hrd1p ubiquitin ligase complex	Yarrowia_lipolytica@Seq_1714	144_1713	OG5386
IRE1-TRAF2-ASK1 complex	Yarrowia_lipolytica@Seq_3422	144_3421	OG2241
Ino80 complex	Yarrowia_lipolytica@Seq_1365	144_1364	OG3084
Ino80 complex	Yarrowia_lipolytica@Seq_1540	144_1539	OG2118
Ino80 complex	Yarrowia_lipolytica@Seq_3700	144_3699	OG1721
Ino80 complex	Yarrowia_lipolytica@Seq_3894	144_3893	OG2366
Ino80 complex	Yarrowia_lipolytica@Seq_3985	144_3984	OG2549
Ino80 complex	Yarrowia_lipolytica@Seq_5284	144_5283	OG10439
Ino80 complex	Yarrowia_lipolytica@Seq_5308	144_5307	OG3887
Ino80 complex	Yarrowia_lipolytica@Seq_5593	144_5592	OG2601
Ku70:Ku80 complex	Yarrowia_lipolytica@Seq_2048	144_2047	OG2349
Ku70:Ku80 complex	Yarrowia_lipolytica@Seq_4969	144_4968	OG3527
Lid2 complex	Yarrowia_lipolytica@Seq_3333	144_3332	OG1678
Lsm1-7-Pat1 complex	Yarrowia_lipolytica@Seq_2033	144_2032	OG4421
Lsm1-7-Pat1 complex	Yarrowia_lipolytica@Seq_2669	144_2668	OG3632
Lsm1-7-Pat1 complex	Yarrowia_lipolytica@Seq_4102	144_4101	OG4096
Lsm1-7-Pat1 complex	Yarrowia_lipolytica@Seq_4160	144_4159	OG4593
Lsm1-7-Pat1 complex	Yarrowia_lipolytica@Seq_5457	144_5456	OG2153
MBF transcription complex	Yarrowia_lipolytica@Seq_1118	144_1117	OG2991
MBF transcription complex	Yarrowia_lipolytica@Seq_1128	144_1127	OG2185
MBF transcription complex	Yarrowia_lipolytica@Seq_4010	144_4009	OG4844
MCM complex	Yarrowia_lipolytica@Seq_2181	144_2180	OG1049
MCM complex	Yarrowia_lipolytica@Seq_3193	144_3192	OG2003
MCM complex	Yarrowia_lipolytica@Seq_3705	144_3704	OG2001
MCM complex	Yarrowia_lipolytica@Seq_4088	144_4087	OG2034
MCM complex	Yarrowia_lipolytica@Seq_6040	144_6039	OG1893
MCM complex	Yarrowia_lipolytica@Seq_846	144_845	OG2191
MICOS complex	Yarrowia_lipolytica@Seq_2454	144_2453	OG2907
MICOS complex	Yarrowia_lipolytica@Seq_4604	144_4603	OG2796
MICOS complex	Yarrowia_lipolytica@Seq_5232	144_5231	OG7335
MICOS complex	Yarrowia_lipolytica@Seq_909	144_908	OG8951
MIS12/MIND type complex	Yarrowia_lipolytica@Seq_1740	144_1739	OG4654
MLL1 complex	Yarrowia_lipolytica@Seq_118	144_117	OG2351
MOZ/MORF histone acetyltransferase complex	Yarrowia_lipolytica@Seq_4312	144_4311	OG4174
MUB1-RAD6-UBR2 ubiquitin ligase complex	Yarrowia_lipolytica@Seq_6191	144_6190	OG2911
Mcs4 RR-MAPKKK complex	Yarrowia_lipolytica@Seq_848	144_847	OG2142
Mis6-Sim4 complex	Yarrowia_lipolytica@Seq_3699	144_3698	OG4996
Mon1-Ccz1 complex	Yarrowia_lipolytica@Seq_1327	144_1326	OG4015
Mpp10 complex	Yarrowia_lipolytica@Seq_2995	144_2994	OG2583
Mpp10 complex	Yarrowia_lipolytica@Seq_4142	144_4141	OG1757
Mpp10 complex	Yarrowia_lipolytica@Seq_6322	144_6321	OG3824
Mre11 complex	Yarrowia_lipolytica@Seq_1205	144_1204	OG10617
Mre11 complex	Yarrowia_lipolytica@Seq_2359	144_2358	OG1700
Mre11 complex	Yarrowia_lipolytica@Seq_4874	144_4873	OG2164
MutLalpha complex	Yarrowia_lipolytica@Seq_4959	144_4958	OG1991
MutLalpha complex	Yarrowia_lipolytica@Seq_521	144_520	OG2832
MutSalpha complex	Yarrowia_lipolytica@Seq_1029	144_1028	OG1606
MutSalpha complex	Yarrowia_lipolytica@Seq_5588	144_5587	OG2337
MutSbeta complex	Yarrowia_lipolytica@Seq_1029	144_1028	OG1606
MutSbeta complex	Yarrowia_lipolytica@Seq_5389	144_5388	OG1940
Myo2p-Vac17p-Vac8p transport complex	Yarrowia_lipolytica@Seq_3219	144_3218	OG1739
NMS complex	Yarrowia_lipolytica@Seq_3460	144_3459	OG16214
NMS complex	Yarrowia_lipolytica@Seq_4667	144_4666	OG20290
NatA complex	Yarrowia_lipolytica@Seq_203	144_202	OG23353
NatA complex	Yarrowia_lipolytica@Seq_3098	144_3097	OG3793
NatA complex	Yarrowia_lipolytica@Seq_3521	144_3520	OG2519
NatA complex	Yarrowia_lipolytica@Seq_3729	144_3728	OG1823
NatB complex	Yarrowia_lipolytica@Seq_3496	144_3495	OG3198
NatB complex	Yarrowia_lipolytica@Seq_4639	144_4638	OG3354
NatC complex	Yarrowia_lipolytica@Seq_3151	144_3150	OG2779
NatC complex	Yarrowia_lipolytica@Seq_6093	144_6092	OG2456
Ndc80 complex	Yarrowia_lipolytica@Seq_2340	144_2339	OG22128
Ndc80 complex	Yarrowia_lipolytica@Seq_2634	144_2633	OG2563
Ndc80 complex	Yarrowia_lipolytica@Seq_5334	144_5333	OG4933
Ndc80 complex	Yarrowia_lipolytica@Seq_768	144_767	OG3834
Nem1-Spo7 phosphatase complex	Yarrowia_lipolytica@Seq_108	144_107	OG3769
Noc1p-Noc2p complex	Yarrowia_lipolytica@Seq_4966	144_4965	OG2060
Noc2p-Noc3p complex	Yarrowia_lipolytica@Seq_4966	144_4965	OG2060
Noc4p-Nop14p complex	Yarrowia_lipolytica@Seq_5576	144_5575	OG2527
Noc4p-Nop14p complex	Yarrowia_lipolytica@Seq_6143	144_6142	OG3217
NuA3a histone acetyltransferase complex	Yarrowia_lipolytica@Seq_4312	144_4311	OG4174
NuA3b histone acetyltransferase complex	Yarrowia_lipolytica@Seq_4312	144_4311	OG4174
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_1312	144_1311	OG1427
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_1540	144_1539	OG2118
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_3700	144_3699	OG1721
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_396	144_395	OG3397
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_4312	144_4311	OG4174
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_4793	144_4792	OG19057
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_4985	144_4984	OG2949
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_5324	144_5323	OG2653
NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_5651	144_5650	OG3922
PAM complex, Tim23 associated import motor	Yarrowia_lipolytica@Seq_2037	144_2036	OG3126
PAM complex, Tim23 associated import motor	Yarrowia_lipolytica@Seq_3482	144_3481	OG3883
PAM complex, Tim23 associated import motor	Yarrowia_lipolytica@Seq_703	144_702	OG4229
PAM complex, Tim23 associated import motor	Yarrowia_lipolytica@Seq_987	144_986	OG2440
PAN complex	Yarrowia_lipolytica@Seq_1331	144_1330	OG1816
PAS complex	Yarrowia_lipolytica@Seq_2756	144_2755	OG17099
PAS complex	Yarrowia_lipolytica@Seq_279	144_278	OG2213
PCNA complex	Yarrowia_lipolytica@Seq_1095	144_1094	OG6961
PCNA complex	Yarrowia_lipolytica@Seq_34	144_33	OG2159
PcG protein complex	Yarrowia_lipolytica@Seq_5432	144_5431	OG3583
PeBoW complex	Yarrowia_lipolytica@Seq_1742	144_1741	OG2140
PeBoW complex	Yarrowia_lipolytica@Seq_4439	144_4438	OG2193
PeBoW complex	Yarrowia_lipolytica@Seq_5181	144_5180	OG4572
PeBoW complex	Yarrowia_lipolytica@Seq_5412	144_5411	OG1722
Piccolo NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_3082	144_3081	OG2141
Piccolo NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_3666	144_3665	OG2180
Piccolo NuA4 histone acetyltransferase complex	Yarrowia_lipolytica@Seq_4404	144_4403	OG3504
Prp19 complex	Yarrowia_lipolytica@Seq_146	144_145	OG4830
Prp19 complex	Yarrowia_lipolytica@Seq_1473	144_1472	OG3741
Prp19 complex	Yarrowia_lipolytica@Seq_256	144_255	OG2650
Prp19 complex	Yarrowia_lipolytica@Seq_2820	144_2819	OG3229
Prp19 complex	Yarrowia_lipolytica@Seq_318	144_317	OG3223
Prp19 complex	Yarrowia_lipolytica@Seq_3315	144_3314	OG3004
Prp19 complex	Yarrowia_lipolytica@Seq_4023	144_4022	OG4987
Prp19 complex	Yarrowia_lipolytica@Seq_4986	144_4985	OG1790
Prp19 complex	Yarrowia_lipolytica@Seq_6098	144_6097	OG3916
Pwp2p-containing subcomplex of 90S preribosome	Yarrowia_lipolytica@Seq_1412	144_1411	OG2750
Pwp2p-containing subcomplex of 90S preribosome	Yarrowia_lipolytica@Seq_1607	144_1606	OG2027
Pwp2p-containing subcomplex of 90S preribosome	Yarrowia_lipolytica@Seq_3827	144_3826	OG1868
Pwp2p-containing subcomplex of 90S preribosome	Yarrowia_lipolytica@Seq_4097	144_4096	OG2553
Pwp2p-containing subcomplex of 90S preribosome	Yarrowia_lipolytica@Seq_5923	144_5922	OG2036
Pwp2p-containing subcomplex of 90S preribosome	Yarrowia_lipolytica@Seq_88	144_87	OG1961
R2TP complex	Yarrowia_lipolytica@Seq_1540	144_1539	OG2118
R2TP complex	Yarrowia_lipolytica@Seq_2038	144_2037	OG23614
R2TP complex	Yarrowia_lipolytica@Seq_3700	144_3699	OG1721
RAVE complex	Yarrowia_lipolytica@Seq_1882	144_1881	OG2287
RAVE complex	Yarrowia_lipolytica@Seq_769	144_768	OG14803
RES complex	Yarrowia_lipolytica@Seq_3140	144_3139	OG3465
RIC1-RGP1 guanyl-nucleotide exchange factor complex	Yarrowia_lipolytica@Seq_4930	144_4929	OG4737
RIC1-RGP1 guanyl-nucleotide exchange factor complex	Yarrowia_lipolytica@Seq_6423	144_6422	OG5161
RNA N6-methyladenosine methyltransferase complex	Yarrowia_lipolytica@Seq_4427	144_4426	OG3722
RNA nuclear export complex	Yarrowia_lipolytica@Seq_2902	144_2901	OG1890
RNA polymerase I complex	Yarrowia_lipolytica@Seq_1617	144_1616	OG3302
RNA polymerase I complex	Yarrowia_lipolytica@Seq_2802	144_2801	OG2273
RNA polymerase I complex	Yarrowia_lipolytica@Seq_3319	144_3318	OG2018
RNA polymerase I complex	Yarrowia_lipolytica@Seq_3600	144_3599	OG3160
RNA polymerase I complex	Yarrowia_lipolytica@Seq_4256	144_4255	OG1568
RNA polymerase I complex	Yarrowia_lipolytica@Seq_4758	144_4757	OG3189
RNA polymerase I complex	Yarrowia_lipolytica@Seq_5429	144_5428	OG2030
