complex type	sequence id	index	ortholog
CMG complex	Candida_parapsilosis@Seq_752	24_751	OG2873
COMA complex	Candida_parapsilosis@Seq_3549	24_3548	OG4996
COP9 signalosome	Candida_parapsilosis@Seq_1895	24_1894	OG3147
COP9 signalosome	Candida_parapsilosis@Seq_5189	24_5188	OG1445
COPI vesicle coat	Candida_parapsilosis@Seq_1332	24_1331	OG1861
COPI vesicle coat	Candida_parapsilosis@Seq_1620	24_1619	OG1602
COPI vesicle coat	Candida_parapsilosis@Seq_2752	24_2751	OG3935
COPI vesicle coat	Candida_parapsilosis@Seq_3704	24_3703	OG1846
COPI vesicle coat	Candida_parapsilosis@Seq_3983	24_3982	OG4574
COPI vesicle coat	Candida_parapsilosis@Seq_4647	24_4646	OG1766
COPI vesicle coat	Candida_parapsilosis@Seq_47	24_46	OG2128
COPII vesicle coat	Candida_parapsilosis@Seq_1637	24_1636	OG1075
COPII vesicle coat	Candida_parapsilosis@Seq_193	24_192	OG1717
COPII vesicle coat	Candida_parapsilosis@Seq_3791	24_3790	OG1293
COPII vesicle coat	Candida_parapsilosis@Seq_4182	24_4181	OG1075
COPII vesicle coat	Candida_parapsilosis@Seq_4940	24_4939	OG3646
COPII vesicle coat	Candida_parapsilosis@Seq_721	24_720	OG3118
COPII vesicle coat	Candida_parapsilosis@Seq_941	24_940	OG1549
CORVET complex	Candida_parapsilosis@Seq_2370	24_2369	OG2803
CORVET complex	Candida_parapsilosis@Seq_258	24_257	OG2233
CORVET complex	Candida_parapsilosis@Seq_3730	24_3729	OG2511
CORVET complex	Candida_parapsilosis@Seq_5234	24_5233	OG6195
CORVET complex	Candida_parapsilosis@Seq_78	24_77	OG3672
CST complex	Candida_parapsilosis@Seq_1743	24_1742	OG44914
CST complex	Candida_parapsilosis@Seq_4621	24_4620	OG4944
CTDK-1 complex	Candida_parapsilosis@Seq_103	24_102	OG4397
CTDK-1 complex	Candida_parapsilosis@Seq_1738	24_1737	OG3501
CTDK-1 complex	Candida_parapsilosis@Seq_3796	24_3795	OG3468
CURI complex	Candida_parapsilosis@Seq_2560	24_2559	OG2466
CURI complex	Candida_parapsilosis@Seq_471	24_470	OG1712
CURI complex	Candida_parapsilosis@Seq_4999	24_4998	OG2667
Cbf1-Met4-Met28 complex	Candida_parapsilosis@Seq_1707	24_1706	OG2947
Cbf1-Met4-Met28 complex	Candida_parapsilosis@Seq_1720	24_1719	OG5162
Cbf1-Met4-Met28 complex	Candida_parapsilosis@Seq_3317	24_3316	OG4903
Cbp3p-Cbp6 complex	Candida_parapsilosis@Seq_4602	24_4601	OG4641
Cbp3p-Cbp6 complex	Candida_parapsilosis@Seq_5053	24_5052	OG2910
Cdc24p-Far1p-Gbetagamma complex	Candida_parapsilosis@Seq_1297	24_1296	OG4289
Cdc24p-Far1p-Gbetagamma complex	Candida_parapsilosis@Seq_1733	24_1732	OG2995
Cdc24p-Far1p-Gbetagamma complex	Candida_parapsilosis@Seq_2502	24_2501	OG2926
Cdc24p-Far1p-Gbetagamma complex	Candida_parapsilosis@Seq_623	24_622	OG4685
Cdc42 GTPase complex	Candida_parapsilosis@Seq_2842	24_2841	OG1409
Cdc42 GTPase complex	Candida_parapsilosis@Seq_4784	24_4783	OG1483
Cdc48p-Npl4p-Vms1p AAA ATPase complex	Candida_parapsilosis@Seq_3388	24_3387	OG1505
Cdc48p-Npl4p-Vms1p AAA ATPase complex	Candida_parapsilosis@Seq_781	24_780	OG2062
Cdc48p-Npl4p-Vms1p AAA ATPase complex	Candida_parapsilosis@Seq_931	24_930	OG4176
Cdc50p-Drs2p complex	Candida_parapsilosis@Seq_340	24_339	OG2078
Cdc50p-Drs2p complex	Candida_parapsilosis@Seq_3923	24_3922	OG1008
Cdc73/Paf1 complex	Candida_parapsilosis@Seq_1513	24_1512	OG1803
Cdc73/Paf1 complex	Candida_parapsilosis@Seq_2664	24_2663	OG3893
Cdc73/Paf1 complex	Candida_parapsilosis@Seq_2954	24_2953	OG2301
Cdc73/Paf1 complex	Candida_parapsilosis@Seq_3145	24_3144	OG3086
Cdc73/Paf1 complex	Candida_parapsilosis@Seq_40	24_39	OG3293
Cdc73/Paf1 complex	Candida_parapsilosis@Seq_461	24_460	OG1903
Cdr2 medial cortical node complex	Candida_parapsilosis@Seq_186	24_185	OG4098
Clr6 histone deacetylase complex I''	Candida_parapsilosis@Seq_1071	24_1070	OG1363
Clr6 histone deacetylase complex I''	Candida_parapsilosis@Seq_5009	24_5008	OG1453
CoA-synthesizing protein complex	Candida_parapsilosis@Seq_1605	24_1604	OG1491
CoA-synthesizing protein complex	Candida_parapsilosis@Seq_3283	24_3282	OG2578
CoA-synthesizing protein complex	Candida_parapsilosis@Seq_3394	24_3393	OG3025
CoA-synthesizing protein complex	Candida_parapsilosis@Seq_3646	24_3645	OG3008
CoA-synthesizing protein complex	Candida_parapsilosis@Seq_4553	24_4552	OG2084
Ctf18 RFC-like complex	Candida_parapsilosis@Seq_175	24_174	OG2996
Ctf18 RFC-like complex	Candida_parapsilosis@Seq_1782	24_1781	OG2839
Ctf18 RFC-like complex	Candida_parapsilosis@Seq_2592	24_2591	OG4443
Ctf18 RFC-like complex	Candida_parapsilosis@Seq_3052	24_3051	OG2291
Ctf18 RFC-like complex	Candida_parapsilosis@Seq_3811	24_3810	OG4339
Ctf18 RFC-like complex	Candida_parapsilosis@Seq_4500	24_4499	OG2883
Ctf18 RFC-like complex	Candida_parapsilosis@Seq_518	24_517	OG2330
Cul3-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_1484	24_1483	OG2623
Cul3-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_3078	24_3077	OG3237
Cul3-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_3444	24_3443	OG4956
Cul3-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_4347	24_4346	OG3051
Cul3-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_5193	24_5192	OG2523
Cul3-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_880	24_879	OG1729
Cul8-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_1737	24_1736	OG2612
Cul8-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_4347	24_4346	OG3051
Cul8-RING ubiquitin ligase complex	Candida_parapsilosis@Seq_614	24_613	OG5389
Cvt complex	Candida_parapsilosis@Seq_5248	24_5247	OG2851
Cvt complex	Candida_parapsilosis@Seq_769	24_768	OG1297
DASH complex	Candida_parapsilosis@Seq_1901	24_1900	OG5406
DASH complex	Candida_parapsilosis@Seq_2229	24_2228	OG5085
DASH complex	Candida_parapsilosis@Seq_2296	24_2295	OG4359
DASH complex	Candida_parapsilosis@Seq_3509	24_3508	OG3279
DASH complex	Candida_parapsilosis@Seq_3643	24_3642	OG3434
DASH complex	Candida_parapsilosis@Seq_4228	24_4227	OG5135
DASH complex	Candida_parapsilosis@Seq_4288	24_4287	OG4135
DASH complex	Candida_parapsilosis@Seq_4293	24_4292	OG5079
DASH complex	Candida_parapsilosis@Seq_4657	24_4656	OG5175
DNA helicase A complex	Candida_parapsilosis@Seq_1773	24_1772	OG2454
DNA ligase IV complex	Candida_parapsilosis@Seq_2112	24_2111	OG2668
DNA replication factor A complex	Candida_parapsilosis@Seq_5266	24_5265	OG2220
DNA replication factor A complex	Candida_parapsilosis@Seq_673	24_672	OG4022
DNA replication factor C complex	Candida_parapsilosis@Seq_1220	24_1219	OG1554
DNA replication factor C complex	Candida_parapsilosis@Seq_175	24_174	OG2996
DNA replication factor C complex	Candida_parapsilosis@Seq_1782	24_1781	OG2839
DNA replication factor C complex	Candida_parapsilosis@Seq_3052	24_3051	OG2291
DNA replication factor C complex	Candida_parapsilosis@Seq_518	24_517	OG2330
DNA replication preinitiation complex	Candida_parapsilosis@Seq_1249	24_1248	OG4384
DNA replication preinitiation complex	Candida_parapsilosis@Seq_1360	24_1359	OG2479
DNA replication preinitiation complex	Candida_parapsilosis@Seq_1898	24_1897	OG1830
DNA replication preinitiation complex	Candida_parapsilosis@Seq_1918	24_1917	OG5493
DNA replication preinitiation complex	Candida_parapsilosis@Seq_2072	24_2071	OG3684
DNA replication preinitiation complex	Candida_parapsilosis@Seq_2266	24_2265	OG1893
DNA replication preinitiation complex	Candida_parapsilosis@Seq_2870	24_2869	OG1973
DNA replication preinitiation complex	Candida_parapsilosis@Seq_3186	24_3185	OG3537
DNA replication preinitiation complex	Candida_parapsilosis@Seq_3351	24_3350	OG1886
DNA replication preinitiation complex	Candida_parapsilosis@Seq_337	24_336	OG1921
DNA replication preinitiation complex	Candida_parapsilosis@Seq_346	24_345	OG2191
DNA replication preinitiation complex	Candida_parapsilosis@Seq_3799	24_3798	OG1049
DNA replication preinitiation complex	Candida_parapsilosis@Seq_4023	24_4022	OG5346
DNA replication preinitiation complex	Candida_parapsilosis@Seq_4115	24_4114	OG2001
DNA replication preinitiation complex	Candida_parapsilosis@Seq_4446	24_4445	OG2003
DNA replication preinitiation complex	Candida_parapsilosis@Seq_4655	24_4654	OG3283
DNA replication preinitiation complex	Candida_parapsilosis@Seq_4791	24_4790	OG4076
DNA replication preinitiation complex	Candida_parapsilosis@Seq_5158	24_5157	OG2034
DNA replication preinitiation complex	Candida_parapsilosis@Seq_5159	24_5158	OG1011
DNA replication preinitiation complex	Candida_parapsilosis@Seq_5204	24_5203	OG5844
DNA replication preinitiation complex	Candida_parapsilosis@Seq_710	24_709	OG2439
DNA replication preinitiation complex	Candida_parapsilosis@Seq_752	24_751	OG2873
DPS complex	Candida_parapsilosis@Seq_774	24_773	OG1452
DSIF complex	Candida_parapsilosis@Seq_5076	24_5075	OG4093
DSIF complex	Candida_parapsilosis@Seq_933	24_932	OG2342
DUBm complex	Candida_parapsilosis@Seq_1177	24_1176	OG6366
DUBm complex	Candida_parapsilosis@Seq_1930	24_1929	OG1493
DUBm complex	Candida_parapsilosis@Seq_2416	24_2415	OG4031
DUBm complex	Candida_parapsilosis@Seq_4338	24_4337	OG3031
Dbf4-dependent protein kinase complex	Candida_parapsilosis@Seq_1803	24_1802	OG1775
Dbf4-dependent protein kinase complex	Candida_parapsilosis@Seq_3533	24_3532	OG3951
Dcp1-Dcp2 complex	Candida_parapsilosis@Seq_3680	24_3679	OG3584
Dcp1-Dcp2 complex	Candida_parapsilosis@Seq_885	24_884	OG1818
Ddb1-Ckn1 complex	Candida_parapsilosis@Seq_2159	24_2158	OG3613
Doa10p ubiquitin ligase complex	Candida_parapsilosis@Seq_1154	24_1153	OG4220
Doa10p ubiquitin ligase complex	Candida_parapsilosis@Seq_3121	24_3120	OG2940
Doa10p ubiquitin ligase complex	Candida_parapsilosis@Seq_3388	24_3387	OG1505
Doa10p ubiquitin ligase complex	Candida_parapsilosis@Seq_4515	24_4514	OG2892
Doa10p ubiquitin ligase complex	Candida_parapsilosis@Seq_875	24_874	OG4246
Doa10p ubiquitin ligase complex	Candida_parapsilosis@Seq_931	24_930	OG4176
Dom34-Hbs1 complex	Candida_parapsilosis@Seq_3425	24_3424	OG1079
Dom34-Hbs1 complex	Candida_parapsilosis@Seq_683	24_682	OG1117
Dsc E3 ubiquitin ligase complex	Candida_parapsilosis@Seq_3913	24_3912	OG4092
Dsc E3 ubiquitin ligase complex	Candida_parapsilosis@Seq_4589	24_4588	OG3064
Dsc E3 ubiquitin ligase complex	Candida_parapsilosis@Seq_4614	24_4613	OG3532
Dsc E3 ubiquitin ligase complex	Candida_parapsilosis@Seq_825	24_824	OG2476
Dsl1/NZR complex	Candida_parapsilosis@Seq_1382	24_1381	OG4784
Dsl1/NZR complex	Candida_parapsilosis@Seq_2027	24_2026	OG5804
Dsl1/NZR complex	Candida_parapsilosis@Seq_4928	24_4927	OG5858
EGO complex	Candida_parapsilosis@Seq_1156	24_1155	OG2929
EGO complex	Candida_parapsilosis@Seq_1807	24_1806	OG3009
EGO complex	Candida_parapsilosis@Seq_4546	24_4545	OG4226
EKC/KEOPS complex	Candida_parapsilosis@Seq_1779	24_1778	OG3997
EKC/KEOPS complex	Candida_parapsilosis@Seq_2501	24_2500	OG2613
EKC/KEOPS complex	Candida_parapsilosis@Seq_3530	24_3529	OG4626
EKC/KEOPS complex	Candida_parapsilosis@Seq_3860	24_3859	OG1581
EKC/KEOPS complex	Candida_parapsilosis@Seq_5129	24_5128	OG3649
ER membrane protein complex	Candida_parapsilosis@Seq_2523	24_2522	OG2943
ER membrane protein complex	Candida_parapsilosis@Seq_2845	24_2844	OG2344
ER membrane protein complex	Candida_parapsilosis@Seq_3171	24_3170	OG3249
ER membrane protein complex	Candida_parapsilosis@Seq_3991	24_3990	OG3977
ER membrane protein complex	Candida_parapsilosis@Seq_410	24_409	OG4746
ER membrane protein complex	Candida_parapsilosis@Seq_5149	24_5148	OG3931
ERMES complex	Candida_parapsilosis@Seq_1123	24_1122	OG2214
ERMES complex	Candida_parapsilosis@Seq_1514	24_1513	OG2368
ERMES complex	Candida_parapsilosis@Seq_35	24_34	OG2158
ERMES complex	Candida_parapsilosis@Seq_4941	24_4940	OG1798
ERMES complex	Candida_parapsilosis@Seq_744	24_743	OG4455
ESCRT I complex	Candida_parapsilosis@Seq_1162	24_1161	OG6312
ESCRT I complex	Candida_parapsilosis@Seq_1413	24_1412	OG3628
ESCRT I complex	Candida_parapsilosis@Seq_3082	24_3081	OG6448
ESCRT II complex	Candida_parapsilosis@Seq_161	24_160	OG3324
ESCRT II complex	Candida_parapsilosis@Seq_2434	24_2433	OG3705
ESCRT II complex	Candida_parapsilosis@Seq_3287	24_3286	OG2800
ESCRT III complex	Candida_parapsilosis@Seq_19	24_18	OG4081
ESCRT III complex	Candida_parapsilosis@Seq_3203	24_3202	OG2789
ESCRT III complex	Candida_parapsilosis@Seq_4491	24_4490	OG4051
ESCRT III complex	Candida_parapsilosis@Seq_590	24_589	OG2203
ESCRT III complex	Candida_parapsilosis@Seq_714	24_713	OG3461
ESCRT III complex	Candida_parapsilosis@Seq_716	24_715	OG1082
ESCRT-0 complex	Candida_parapsilosis@Seq_3115	24_3114	OG3181
ESCRT-0 complex	Candida_parapsilosis@Seq_4506	24_4505	OG1894
Elg1 RFC-like complex	Candida_parapsilosis@Seq_175	24_174	OG2996
Elg1 RFC-like complex	Candida_parapsilosis@Seq_1782	24_1781	OG2839
Elg1 RFC-like complex	Candida_parapsilosis@Seq_3052	24_3051	OG2291
Elg1 RFC-like complex	Candida_parapsilosis@Seq_5163	24_5162	OG4958
Elg1 RFC-like complex	Candida_parapsilosis@Seq_518	24_517	OG2330
Elongator holoenzyme complex	Candida_parapsilosis@Seq_1210	24_1209	OG2632
Elongator holoenzyme complex	Candida_parapsilosis@Seq_1475	24_1474	OG4974
Elongator holoenzyme complex	Candida_parapsilosis@Seq_5051	24_5050	OG3591
Elongator holoenzyme complex	Candida_parapsilosis@Seq_571	24_570	OG1885
Elongator holoenzyme complex	Candida_parapsilosis@Seq_674	24_673	OG1723
Elongator holoenzyme complex	Candida_parapsilosis@Seq_845	24_844	OG2251
F-actin capping protein complex	Candida_parapsilosis@Seq_3392	24_3391	OG3889
F-actin capping protein complex	Candida_parapsilosis@Seq_3809	24_3808	OG4292
FACT complex	Candida_parapsilosis@Seq_2758	24_2757	OG2063
FACT complex	Candida_parapsilosis@Seq_5116	24_5115	OG2169
FAL1-SGD1 complex	Candida_parapsilosis@Seq_2485	24_2484	OG2269
FAL1-SGD1 complex	Candida_parapsilosis@Seq_5164	24_5163	OG1641
FAR/SIN/STRIPAK complex	Candida_parapsilosis@Seq_16	24_15	OG1535
FAR/SIN/STRIPAK complex	Candida_parapsilosis@Seq_3763	24_3762	OG2446
G-protein beta/gamma-subunit complex	Candida_parapsilosis@Seq_1733	24_1732	OG2995
G-protein beta/gamma-subunit complex	Candida_parapsilosis@Seq_2502	24_2501	OG2926
GARP complex	Candida_parapsilosis@Seq_160	24_159	OG1958
GARP complex	Candida_parapsilosis@Seq_2756	24_2755	OG2122
GARP complex	Candida_parapsilosis@Seq_4045	24_4044	OG3536
GARP complex	Candida_parapsilosis@Seq_757	24_756	OG6064
GATOR1 complex	Candida_parapsilosis@Seq_1481	24_1480	OG3106
GATOR1 complex	Candida_parapsilosis@Seq_4730	24_4729	OG3561
GATOR1 complex	Candida_parapsilosis@Seq_4734	24_4733	OG1504
GET complex	Candida_parapsilosis@Seq_3277	24_3276	OG5751
GET complex	Candida_parapsilosis@Seq_3288	24_3287	OG2441
GET complex	Candida_parapsilosis@Seq_3849	24_3848	OG3284
GID complex	Candida_parapsilosis@Seq_1631	24_1630	OG5869
GID complex	Candida_parapsilosis@Seq_4312	24_4311	OG4542
GID complex	Candida_parapsilosis@Seq_450	24_449	OG3194
GID complex	Candida_parapsilosis@Seq_466	24_465	OG4752
GID complex	Candida_parapsilosis@Seq_5205	24_5204	OG2985
GINS complex	Candida_parapsilosis@Seq_3186	24_3185	OG3537
GINS complex	Candida_parapsilosis@Seq_3351	24_3350	OG1886
GINS complex	Candida_parapsilosis@Seq_4655	24_4654	OG3283
GINS complex	Candida_parapsilosis@Seq_752	24_751	OG2873
GPI-anchor transamidase complex	Candida_parapsilosis@Seq_1099	24_1098	OG3912
GPI-anchor transamidase complex	Candida_parapsilosis@Seq_1557	24_1556	OG2568
GPI-anchor transamidase complex	Candida_parapsilosis@Seq_2082	24_2081	OG2872
GPI-anchor transamidase complex	Candida_parapsilosis@Seq_3136	24_3135	OG2254
GPI-anchor transamidase complex	Candida_parapsilosis@Seq_3200	24_3199	OG1948
Golgi transport complex	Candida_parapsilosis@Seq_1758	24_1757	OG4692
Golgi transport complex	Candida_parapsilosis@Seq_2704	24_2703	OG2115
Golgi transport complex	Candida_parapsilosis@Seq_2869	24_2868	OG2492
Golgi transport complex	Candida_parapsilosis@Seq_4202	24_4201	OG2659
Golgi transport complex	Candida_parapsilosis@Seq_457	24_456	OG3868
Golgi transport complex	Candida_parapsilosis@Seq_467	24_466	OG3765
Golgi transport complex	Candida_parapsilosis@Seq_634	24_633	OG4480
Gtr1-Gtr2 GTPase complex	Candida_parapsilosis@Seq_1156	24_1155	OG2929
Gtr1-Gtr2 GTPase complex	Candida_parapsilosis@Seq_4546	24_4545	OG4226
H4/H2A histone acetyltransferase complex	Candida_parapsilosis@Seq_2798	24_2797	OG2949
HDA1 complex	Candida_parapsilosis@Seq_2031	24_2030	OG5529
HDA1 complex	Candida_parapsilosis@Seq_3433	24_3432	OG1736
HDA1 complex	Candida_parapsilosis@Seq_3619	24_3618	OG3136
HICS complex	Candida_parapsilosis@Seq_1334	24_1333	OG3763
HICS complex	Candida_parapsilosis@Seq_1405	24_1404	OG5586
