ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	2 5-Aminolevulinate[s] <=> 2 H2O[s] + Porphobilinogen[s]	ec-code/4.2.1.24	augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-3.147-mRNA-1_1	-1000	1000			kegg.reaction/R00036;kegg.pathway/rn00860;kegg.module/M00121;kegg.orthology/K01698;rhea/24067	Porphyrin and chlorophyll metabolism
R00066	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	2 6,7-Dimethyl-8-(D-ribityl)lumazine[s] <=> Riboflavin[s] + 5-Amino-6-(1-D-ribitylamino)uracil[s]	ec-code/2.5.1.9	augustus_masked-NODE_23_length_245976_cov_27.2225_ID_45-processed-gene-1.152-mRNA-1_1	-1000	1000			kegg.reaction/R00066;kegg.pathway/rn00740;kegg.module/M00125;kegg.orthology/K00793;rhea/20775	Riboflavin metabolism
R00068	L-ascorbate:oxygen oxidoreductase	Oxygen[s] + 2 Ascorbate[s] <=> 2 H2O[s] + 2 Dehydroascorbate[s]	ec-code/1.10.3.3	augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-1.0-mRNA-1_1 or augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-0.11-mRNA-1_1 or maker-NODE_28_length_204468_cov_32.9351_ID_55-snap-gene-1.51-mRNA-1_1 or augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-1.36-mRNA-1_1 or augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.74-mRNA-1_1	-1000	1000			kegg.reaction/R00068;kegg.pathway/rn00053;kegg.orthology/K00423;rhea/30246	Ascorbate and aldarate metabolism
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing);	H2O[s] + 4 Porphobilinogen[s] <=> 4 Ammonia[s] + Hydroxymethylbilane[s]	ec-code/2.5.1.61	augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-1.113-mRNA-1_1	-1000	1000			kegg.reaction/R00084;kegg.pathway/rn00860;kegg.module/M00121;kegg.orthology/K01749;rhea/13188	Porphyrin and chlorophyll metabolism
R00086	ATP phosphohydrolase	H2O[s] + ATP[s] => ADP[s] + Orthophosphate[s]	ec-code/3.6.1.3;ec-code/3.6.1.5;ec-code/3.6.1.8;ec-code/3.6.1.15	augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-1.35-mRNA-1_1 or augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-2.118-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-13.100-mRNA-1_1 or augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-1.118-mRNA-1_1 or maker-NODE_1_length_1866239_cov_27.8708_ID_1-snap-gene-8.124-mRNA-1_1 or augustus_masked-NODE_24_length_234863_cov_28.0511_ID_47-processed-gene-1.41-mRNA-1_1 or augustus_masked-NODE_17_length_297273_cov_27.7333_ID_33-processed-gene-1.203-mRNA-1_1	0	1000			kegg.reaction/R00086;kegg.pathway/rn00230;kegg.orthology/K01509;kegg.orthology/K01510;kegg.orthology/K14641;kegg.orthology/K14642;kegg.orthology/K17686;rhea/20855	Purine metabolism
R00087	ATP diphosphohydrolase (diphosphate-forming);	H2O[s] + ATP[s] => Diphosphate[s] + AMP[s]	ec-code/3.6.1.8;ec-code/3.6.1.9	augustus_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.34-mRNA-1_1	0	1000			kegg.reaction/R00087;kegg.pathway/rn00230;kegg.orthology/K01513;rhea/14248	Purine metabolism
R00089	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	ATP[s] => Diphosphate[s] + 3',5'-Cyclic AMP[s]	ec-code/4.6.1.1	maker-NODE_5_length_492506_cov_27.4869_ID_9-augustus-gene-2.123-mRNA-1_1	0	1000			kegg.reaction/R00089;kegg.pathway/rn00230;kegg.orthology/K01768;rhea/15392	Purine metabolism
R00093	L-glutamate:NAD+ oxidoreductase (transaminating)	NAD+[s] + 2 L-Glutamate[s] <=> NADH[s] + 2-Oxoglutarate[s] + L-Glutamine[s] + H+[s]	ec-code/1.4.1.14	augustus_masked-NODE_30_length_172163_cov_26.6541_ID_59-processed-gene-0.53-mRNA-1_1	-1000	1000			kegg.reaction/R00093;kegg.pathway/rn00250;kegg.pathway/rn00910;kegg.orthology/K00264;kegg.orthology/K00266;rhea/13756	Alanine, aspartate and glutamate metabolism;Nitrogen metabolism
R00094	glutathione:NAD+ oxidoreductase	NAD+[s] + 2 Glutathione[s] <=> NADH[s] + H+[s] + Glutathione disulfide[s]	ec-code/1.8.1.7	augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-2.54-mRNA-1_1	-1000	1000			kegg.reaction/R00094;kegg.orthology/K00383	
R00100	NADH:ferricytochrome-b5 oxidoreductase	NADH[s] + 2 Ferricytochrome b5[s] => NAD+[s] + H+[s] + 2 Ferrocytochrome b5[s]	ec-code/1.6.2.2	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-1.112-mRNA-1_1 or snap_masked-NODE_44_length_99337_cov_31.1569_ID_87-processed-gene-0.55-mRNA-1_1 or maker-NODE_13_length_316427_cov_31.537_ID_25-augustus-gene-2.58-mRNA-1_1	0	1000			kegg.reaction/R00100;kegg.pathway/rn00520;kegg.orthology/K00326;rhea/46683	Amino sugar and nucleotide sugar metabolism
R00102	NAD+ glycohydrolase	H2O[s] + NAD+[s] <=> Nicotinamide[s] + ADP-ribose[s]	ec-code/3.2.2.5;ec-code/3.2.2.6;ec-code/3.5.1.-	augustus_masked-NODE_10_length_350817_cov_26.8939_ID_19-processed-gene-2.37-mRNA-1_1 or augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-3.227-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-15.2-mRNA-1_1 or augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-11.251-mRNA-1_1	-1000	1000			kegg.reaction/R00102;kegg.pathway/rn00760;kegg.orthology/K11121;rhea/16304	Nicotinate and nicotinamide metabolism
R00103	NAD+ phosphohydrolase	H2O[s] + NAD+[s] <=> AMP[s] + Nicotinamide D-ribonucleotide[s]	ec-code/3.6.1.9;ec-code/3.6.1.22	augustus_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.34-mRNA-1_1 or augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-0.102-mRNA-1_1	-1000	1000			kegg.reaction/R00103;kegg.pathway/rn00760;kegg.orthology/K01513;kegg.orthology/K03426;rhea/11803	Nicotinate and nicotinamide metabolism
R00104	ATP:NAD+ 2'-phosphotransferase	ATP[s] + NAD+[s] <=> NADP+[s] + ADP[s]	ec-code/2.7.1.23	augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-1.27-mRNA-1_1 or augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-1.121-mRNA-1_1	-1000	1000			kegg.reaction/R00104;kegg.pathway/rn00760;kegg.orthology/K00858;rhea/18632	Nicotinate and nicotinamide metabolism
R00107	cob(II)alamin:NADP+ oxidoreductase;	NADPH[s] + 2 Aquacob(III)alamin[s] <=> 2 H2O[s] + NADP+[s] + H+[s] + 2 Cob(II)alamin[s]	ec-code/1.16.1.5	augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.20-mRNA-1_1 or augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-1.16-mRNA-1_1	-1000	1000			kegg.reaction/R00107;kegg.pathway/rn00860;kegg.orthology/K21682;rhea/20755	Porphyrin and chlorophyll metabolism
R00111	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	NADPH[s] + 2 Oxygen[s] + H+[s] + 2 N(omega)-Hydroxyarginine[s] => 2 H2O[s] + NADP+[s] + 2 L-Citrulline[s] + 2 Nitric oxide[s]	ec-code/1.14.13.39	augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.20-mRNA-1_1 or augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-1.16-mRNA-1_1	0	1000			kegg.reaction/R00111;kegg.pathway/rn00330;kegg.orthology/K13240;kegg.orthology/K13241;rhea/24667	Arginine and proline metabolism
R00114	L-Glutamate:NADP+ oxidoreductase (transaminating)	NADP+[s] + 2 L-Glutamate[s] <=> NADPH[s] + 2-Oxoglutarate[s] + L-Glutamine[s] + H+[s]	ec-code/1.4.1.13	augustus_masked-NODE_30_length_172163_cov_26.6541_ID_59-processed-gene-0.53-mRNA-1_1	-1000	1000			kegg.reaction/R00114;kegg.pathway/rn00250;kegg.pathway/rn00910;kegg.orthology/K00264;kegg.orthology/K00266;rhea/15504	Alanine, aspartate and glutamate metabolism;Nitrogen metabolism
R00115	glutathione:NADP+ oxidoreductase	NADPH[s] + H+[s] + Glutathione disulfide[s] => NADP+[s] + 2 Glutathione[s]	ec-code/1.8.1.7	augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-2.54-mRNA-1_1	0	1000			kegg.reaction/R00115;kegg.pathway/rn00480;kegg.orthology/K00383;rhea/11743	Glutathione metabolism
R00122	ADP phosphohydrolase	H2O[s] + ADP[s] => Orthophosphate[s] + AMP[s]	ec-code/3.6.1.5	augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-2.118-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-13.100-mRNA-1_1 or augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-1.118-mRNA-1_1 or maker-NODE_1_length_1866239_cov_27.8708_ID_1-snap-gene-8.124-mRNA-1_1	0	1000			kegg.reaction/R00122;kegg.pathway/rn00230;kegg.orthology/K01510;kegg.orthology/K14641;kegg.orthology/K14642	Purine metabolism
R00125	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	H2O[s] + P1,P4-Bis(5'-adenosyl)tetraphosphate[s] => 2 ADP[s]	ec-code/3.6.1.41	snap_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-3.77-mRNA-1_1	0	1000			kegg.reaction/R00125;kegg.pathway/rn00230;kegg.orthology/K01525;rhea/24255	Purine metabolism
R00126	ADP:ATP adenylyltransferase	ATP[s] + ADP[s] => Orthophosphate[s] + P1,P4-Bis(5'-adenosyl)tetraphosphate[s]	ec-code/2.7.7.53	augustus_masked-NODE_10_length_350817_cov_26.8939_ID_19-processed-gene-2.12-mRNA-1_1	0	1000			kegg.reaction/R00126;kegg.pathway/rn00230;kegg.orthology/K00988;rhea/16580	Purine metabolism
R00127	ATP:AMP phosphotransferase	ATP[s] + AMP[s] <=> 2 ADP[s]	ec-code/2.7.4.3	augustus_masked-NODE_36_length_129941_cov_28.2018_ID_71-processed-gene-0.195-mRNA-1_1 or augustus_masked-NODE_30_length_172163_cov_26.6541_ID_59-processed-gene-0.23-mRNA-1_1	-1000	1000			kegg.reaction/R00127;kegg.pathway/rn00230;kegg.module/M00049;kegg.orthology/K00939;kegg.orthology/K18532;rhea/12976	Purine metabolism
R00130	ATP:dephospho-CoA 3'-phosphotransferase	ATP[s] + Dephospho-CoA[s] <=> ADP[s] + CoA[s]	ec-code/2.7.1.24	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-11.285-mRNA-1_1	-1000	1000			kegg.reaction/R00130;kegg.pathway/rn00770;kegg.module/M00120;kegg.orthology/K00859;rhea/18248	Pantothenate and CoA biosynthesis
R00132	carbonate hydro-lyase (carbon-dioxide-forming);	Carbonic acid[s] <=> H2O[s] + CO2[s]	ec-code/4.2.1.1	augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-17.282-mRNA-1_1	-1000	1000			kegg.reaction/R00132;kegg.orthology/K01673;rhea/10751	
R00137	ATP:nicotinamide-nucleotide adenylyltransferase	ATP[s] + Nicotinamide D-ribonucleotide[s] <=> NAD+[s] + Diphosphate[s]	ec-code/2.7.7.1;ec-code/2.7.7.18	augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-0.106-mRNA-1_1 or snap_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-1.64-mRNA-1_1	-1000	1000			kegg.reaction/R00137;kegg.pathway/rn00760;kegg.orthology/K06210;kegg.orthology/K19785;rhea/21363	Nicotinate and nicotinamide metabolism
R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	ATP[s] + 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate[s] => ADP[s] + 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate[s]	ec-code/2.7.4.6	augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-2.123-mRNA-1_1	0	1000			kegg.reaction/R00139;kegg.pathway/rn00240;kegg.orthology/K00940	Pyrimidine metabolism
R00149	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	H2O[s] + 2 ATP[s] + CO2[s] + Ammonia[s] <=> 2 ADP[s] + Orthophosphate[s] + Carbamoyl phosphate[s]	ec-code/6.3.4.16	augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-2.30-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-11.10-mRNA-1_1	-1000	1000			kegg.reaction/R00149;kegg.pathway/rn00220;kegg.pathway/rn00250;kegg.pathway/rn00910;kegg.module/M00029;kegg.orthology/K01948;rhea/10627	Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Nitrogen metabolism
R00155	UDP phosphohydrolase	H2O[s] + UDP[s] => Orthophosphate[s] + UMP[s]	ec-code/3.6.1.5;ec-code/3.6.1.6	augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-2.118-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-13.100-mRNA-1_1 or augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-1.118-mRNA-1_1 or maker-NODE_1_length_1866239_cov_27.8708_ID_1-snap-gene-8.124-mRNA-1_1	0	1000			kegg.reaction/R00155;kegg.pathway/rn00240;kegg.orthology/K01510;kegg.orthology/K01511;kegg.orthology/K14641;kegg.orthology/K14642	Pyrimidine metabolism
R00156	ATP:UDP phosphotransferase	ATP[s] + UDP[s] <=> ADP[s] + UTP[s]	ec-code/2.7.4.6	augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-2.123-mRNA-1_1	-1000	1000			kegg.reaction/R00156;kegg.pathway/rn00240;kegg.module/M00052;kegg.orthology/K00940;rhea/25101	Pyrimidine metabolism
R00157	Uridine triphosphate:AMP phosphotransferase;	AMP[s] + UTP[s] <=> ADP[s] + UDP[s]	ec-code/2.7.4.10	augustus_masked-NODE_36_length_129941_cov_28.2018_ID_71-processed-gene-0.195-mRNA-1_1 or augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-0.117-mRNA-1_1	-1000	1000			kegg.reaction/R00157;kegg.orthology/K00944	
R00158	ATP:UMP phosphotransferase	ATP[s] + UMP[s] <=> ADP[s] + UDP[s]	ec-code/2.7.4.4;ec-code/2.7.4.14;ec-code/2.7.4.22	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-2.154-mRNA-1_1 or augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-8.94-mRNA-1_1	-1000	1000			kegg.reaction/R00158;kegg.pathway/rn00240;kegg.module/M00052;kegg.orthology/K13800;rhea/24403	Pyrimidine metabolism
R00159	UTP phosphohydrolase	H2O[s] + UTP[s] => Orthophosphate[s] + UDP[s]	ec-code/3.6.1.5;ec-code/3.6.1.39	augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-2.118-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-13.100-mRNA-1_1 or augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-1.118-mRNA-1_1 or maker-NODE_1_length_1866239_cov_27.8708_ID_1-snap-gene-8.124-mRNA-1_1	0	1000			kegg.reaction/R00159;kegg.pathway/rn00240;kegg.orthology/K01510;kegg.orthology/K14641;kegg.orthology/K14642	Pyrimidine metabolism
R00160	FAD nucleotidohydrolase	H2O[s] + FAD[s] <=> AMP[s] + FMN[s]	ec-code/3.6.1.9;ec-code/3.6.1.18	augustus_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.34-mRNA-1_1	-1000	1000			kegg.reaction/R00160;kegg.pathway/rn00740;kegg.orthology/K01513;rhea/13892	Riboflavin metabolism
R00161	ATP:FMN adenylyltransferase	ATP[s] + FMN[s] <=> Diphosphate[s] + FAD[s]	ec-code/2.7.7.2	augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-8.133-mRNA-1_1	-1000	1000			kegg.reaction/R00161;kegg.pathway/rn00740;kegg.module/M00125;kegg.orthology/K00953;rhea/17240	Riboflavin metabolism
R00174	ATP:pyridoxal 5'-phosphotransferase	ATP[s] + Pyridoxal[s] <=> ADP[s] + Pyridoxal phosphate[s]	ec-code/2.7.1.35	augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-2.18-mRNA-1_1	-1000	1000			kegg.reaction/R00174;kegg.pathway/rn00750;kegg.orthology/K00868;rhea/10227	Vitamin B6 metabolism
R00177	ATP:L-methionine S-adenosyltransferase	Orthophosphate[s] + Diphosphate[s] + S-Adenosyl-L-methionine[s] <=> H2O[s] + ATP[s] + L-Methionine[s]	ec-code/2.5.1.6	augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-4.12-mRNA-1_1	-1000	1000			kegg.reaction/R00177;kegg.pathway/rn00270;kegg.module/M00034;kegg.orthology/K00789;rhea/21083	Cysteine and methionine metabolism
R00178	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	S-Adenosyl-L-methionine[s] + H+[s] <=> CO2[s] + S-Adenosylmethioninamine[s]	ec-code/4.1.1.50	augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-5.16-mRNA-1_1	-1000	1000			kegg.reaction/R00178;kegg.pathway/rn00270;kegg.pathway/rn00330;kegg.module/M00034;kegg.orthology/K01611;rhea/15984	Cysteine and methionine metabolism;Arginine and proline metabolism
R00181	AMP aminohydrolase	H2O[s] + AMP[s] <=> Ammonia[s] + IMP[s]	ec-code/3.5.4.6;ec-code/3.5.4.17	augustus_masked-NODE_22_length_248937_cov_28.0058_ID_43-processed-gene-1.206-mRNA-1_1	-1000	1000			kegg.reaction/R00181;kegg.pathway/rn00230;kegg.orthology/K01490;rhea/14780	Purine metabolism
R00185	ATP:adenosine 5'-phosphotransferase	ATP[s] + Adenosine[s] <=> ADP[s] + AMP[s]	ec-code/2.7.1.20;ec-code/2.7.1.74	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-7.122-mRNA-1_1	-1000	1000			kegg.reaction/R00185;kegg.pathway/rn00230;kegg.orthology/K00856;rhea/20827	Purine metabolism
R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	H2O[s] + P1,P3-Bis(5'-adenosyl) triphosphate[s] => ADP[s] + AMP[s]	ec-code/3.6.1.29	augustus_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.34-mRNA-1_1 or augustus_masked-NODE_37_length_124811_cov_26.8911_ID_73-processed-gene-0.125-mRNA-1_1	0	1000			kegg.reaction/R00187;kegg.pathway/rn00230;kegg.orthology/K01522;kegg.orthology/K18424;rhea/13896	Purine metabolism
