"rxn"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"
"rn:R00430"	"YAL038W;YOR347C"	" GTP + Pyruvate <=> GDP + Phosphoenolpyruvate"	"GTP:pyruvate 2-O-phosphotransferase"	"K00873"	"path:map00010;path:map00230;path:map00620;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map04922;path:map04930;path:map05165;path:map05203;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00230  Purine metabolism;sce00620  Pyruvate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce04922  Glucagon signaling pathway;sce04930  Type II diabetes mellitus;sce05165  Human papillomavirus infection;sce05203  Viral carcinogenesis;sce05230  Central carbon metabolism in cancer"
"rn:R01138"	"YAL038W;YOR347C"	" dATP + Pyruvate <=> dADP + Phosphoenolpyruvate"	"dATP:pyruvate 2-O-phosphotransferase"	"K00873"	"path:map00010;path:map00230;path:map00620;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map04922;path:map04930;path:map05165;path:map05203;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00230  Purine metabolism;sce00620  Pyruvate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce04922  Glucagon signaling pathway;sce04930  Type II diabetes mellitus;sce05165  Human papillomavirus infection;sce05203  Viral carcinogenesis;sce05230  Central carbon metabolism in cancer"
"rn:R01858"	"YAL038W;YOR347C"	" dGTP + Pyruvate <=> dGDP + Phosphoenolpyruvate"	"dGTP:pyruvate 2-O-phosphotransferase"	"K00873"	"path:map00010;path:map00230;path:map00620;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map04922;path:map04930;path:map05165;path:map05203;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00230  Purine metabolism;sce00620  Pyruvate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce04922  Glucagon signaling pathway;sce04930  Type II diabetes mellitus;sce05165  Human papillomavirus infection;sce05203  Viral carcinogenesis;sce05230  Central carbon metabolism in cancer"
"rn:R02320"	"YAL038W;YOR347C"	" Nucleoside triphosphate + Pyruvate <=> NDP + Phosphoenolpyruvate"	"NTP:pyruvate O2-phosphotransferase"	"K00873"	"path:map00010;path:map00230;path:map00620;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map04922;path:map04930;path:map05165;path:map05203;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00230  Purine metabolism;sce00620  Pyruvate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce04922  Glucagon signaling pathway;sce04930  Type II diabetes mellitus;sce05165  Human papillomavirus infection;sce05203  Viral carcinogenesis;sce05230  Central carbon metabolism in cancer"
"rn:R02480"	"YAL039C;YKL087C"	" Cytochrome c <=> Apocytochrome c + Heme"	"Cytochrome c apocytochrome-c-lyase"	"K01764"	"path:map00860"	"sce00860  Porphyrin and chlorophyll metabolism"
"rn:R01221"	"YAL044C;YDR019C;YFL018C;YMR189W;YPL017C"	" Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+"	"glycine synthase; glycine cleavage system"	"K02437"	"path:map00260;path:map00630;path:map01100;path:map01110;path:map01130;path:map01200"	"sce00260  Glycine, serine and threonine metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R00235"	"YAL054C;YLR153C"	" ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA"	"Acetate:CoA ligase (AMP-forming)"	"K01895"	"path:map00010;path:map00620;path:map00640;path:map00680;path:map00720;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00620  Pyruvate metabolism;sce00640  Propanoate metabolism;sce00680  Methane metabolism;sce00720  Carbon fixation pathways in prokaryotes;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R00236"	"YAL054C;YLR153C"	" Acetyl adenylate + CoA <=> AMP + Acetyl-CoA"	"acetyl adenylate:CoA acetyltransferase"	"K01895"	"path:map00010;path:map00620;path:map00640;path:map00680;path:map00720;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00620  Pyruvate metabolism;sce00640  Propanoate metabolism;sce00680  Methane metabolism;sce00720  Carbon fixation pathways in prokaryotes;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R00316"	"YAL054C;YLR153C"	" ATP + Acetate <=> Diphosphate + Acetyl adenylate"	"ATP:acetate adenylyltransferase"	"K01895"	"path:map00010;path:map00620;path:map00640;path:map00680;path:map00720;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00620  Pyruvate metabolism;sce00640  Propanoate metabolism;sce00680  Methane metabolism;sce00720  Carbon fixation pathways in prokaryotes;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R00926"	"YAL054C;YLR153C"	" Propionyladenylate + CoA <=> AMP + Propanoyl-CoA"	"Propionyladenylate:CoA propionyltransferase"	"K01895"	"path:map00010;path:map00620;path:map00640;path:map00680;path:map00720;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00620  Pyruvate metabolism;sce00640  Propanoate metabolism;sce00680  Methane metabolism;sce00720  Carbon fixation pathways in prokaryotes;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R01354"	"YAL054C;YLR153C"	" ATP + Propanoate <=> Diphosphate + Propionyladenylate"	"ATP:propanoate adenylyltransferase"	"K01895"	"path:map00010;path:map00620;path:map00640;path:map00680;path:map00720;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00620  Pyruvate metabolism;sce00640  Propanoate metabolism;sce00680  Methane metabolism;sce00720  Carbon fixation pathways in prokaryotes;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R02855"	"YAL060W;YAL061W"	" (R)-Acetoin + NAD+ <=> Diacetyl + NADH + H+"	"(R)-Acetoin:NAD+ oxidoreductase"	"K00004"	"path:map00650"	"sce00650  Butanoate metabolism"
"rn:R02946"	"YAL060W;YAL061W"	" (R,R)-Butane-2,3-diol + NAD+ <=> (R)-Acetoin + NADH + H+"	"(R,R)-Butane-2,3-diol:NAD+ oxidoreductase"	"K00004"	"path:map00650"	"sce00650  Butanoate metabolism"
"rn:R10504"	"YAL060W;YAL061W"	" meso-2,3-Butanediol + NAD+ <=> (S)-Acetoin + NADH + H+"	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	"K00004"	"path:map00650"	"sce00650  Butanoate metabolism"
"rn:R00248"	"YAL062W;YDL171C;YOR375C"	" L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+"	"L-Glutamate:NADP+ oxidoreductase (deaminating)"	"K00262"	"path:map00220;path:map00250;path:map00910;path:map01100"	"sce00220  Arginine biosynthesis;sce00250  Alanine, aspartate and glutamate metabolism;sce00910  Nitrogen metabolism;sce01100  Metabolic pathways"
"rn:R04591"	"YAR015W"	" ATP + 1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate + L-Aspartate <=> ADP + Orthophosphate + 1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole"	"1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)"	"K01923"	"path:map00230;path:map01100;path:map01110;path:map01130"	"sce00230  Purine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R02396"	"YAR035W;YER024W;YML042W"	" Acetyl-CoA + Carnitine <=> CoA + O-Acetylcarnitine"	"Acetyl-CoA:carnitine O-acetyltransferase"	"K00624"	"path:map04146"	"sce04146  Peroxisome"
"rn:R00851"	"YBL011W;YKR067W"	" sn-Glycerol 3-phosphate + Acyl-CoA <=> 1-Acyl-sn-glycerol 3-phosphate + CoA"	"acyl-CoA:sn-glycerol-3-phosphate 1-O-acyltransferase"	"K13507"	"path:map00561;path:map00564;path:map01100;path:map01110"	"sce00561  Glycerolipid metabolism;sce00564  Glycerophospholipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R09380"	"YBL011W;YKR067W"	" Acyl-[acyl-carrier protein] + sn-Glycerol 3-phosphate <=> 1-Acyl-sn-glycerol 3-phosphate + Acyl-carrier protein"	"acyl-ACP:sn-glycerol-3-phosphate 1-O-acyltransferase"	"K13507"	"path:map00561;path:map00564;path:map01100;path:map01110"	"sce00561  Glycerolipid metabolism;sce00564  Glycerophospholipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R03940"	"YBL013W"	" L-Methionyl-tRNA + 10-Formyltetrahydrofolate <=> Tetrahydrofolate + N-Formylmethionyl-tRNA"	"10-Formyltetrahydrofolate:L-methionyl-tRNA N-formyltransferase"	"K00604"	"path:map00670;path:map00970"	"sce00670  One carbon pool by folate;sce00970  Aminoacyl-tRNA biosynthesis"
"rn:R00227"	"YBL015W"	" Acetyl-CoA + H2O <=> CoA + Acetate"	"Acetyl-CoA hydrolase"	"K01067"	"path:map00620"	"sce00620  Pyruvate metabolism"
"rn:R00425"	"YBL033C"	" GTP + 3 H2O <=> Formate + 2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + Diphosphate"	"GTP 7,8-8,9-dihydrolase (diphosphate-forming)"	"K01497"	"path:map00740;path:map00790;path:map01100;path:map01110;path:map02024"	"sce00740  Riboflavin metabolism;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce02024  Quorum sensing"
"rn:R00375"	"YBL035C;YBR278W;YDL102W;YDR121W;YIR008C;YJL065C;YJR006W;YJR043C;YKL045W;YNL102W;YNL262W;YPR175W;YCR014C;YDR419W;YEL055C;YIL139C;YOR330C;YPL167C"	" dATP + DNA <=> Diphosphate + DNA"	"Deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)"	"K02321"	"path:map00230;path:map00240;path:map01100;path:map03030"	"sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways;sce03030  DNA replication"
"rn:R00376"	"YBL035C;YBR278W;YDL102W;YDR121W;YIR008C;YJL065C;YJR006W;YJR043C;YKL045W;YNL102W;YNL262W;YPR175W;YCR014C;YDR419W;YEL055C;YIL139C;YOR330C;YPL167C"	" dGTP + DNA <=> Diphosphate + DNA"	"Deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)"	"K02321"	"path:map00230;path:map00240;path:map01100;path:map03030"	"sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways;sce03030  DNA replication"
"rn:R00377"	"YBL035C;YBR278W;YDL102W;YDR121W;YIR008C;YJL065C;YJR006W;YJR043C;YKL045W;YNL102W;YNL262W;YPR175W;YCR014C;YDR419W;YEL055C;YIL139C;YOR330C;YPL167C"	" dCTP + DNA <=> Diphosphate + DNA"	"Deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)"	"K02321"	"path:map00230;path:map00240;path:map01100;path:map03030"	"sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways;sce03030  DNA replication"
"rn:R00378"	"YBL035C;YBR278W;YDL102W;YDR121W;YIR008C;YJL065C;YJR006W;YJR043C;YKL045W;YNL102W;YNL262W;YPR175W;YCR014C;YDR419W;YEL055C;YIL139C;YOR330C;YPL167C"	" dTTP + DNA <=> Diphosphate + DNA"	"deoxythymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)"	"K02321"	"path:map00230;path:map00240;path:map01100;path:map03030"	"sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways;sce03030  DNA replication"
"rn:R00571"	"YBL039C;YJR103W"	" ATP + UTP + Ammonia <=> ADP + Orthophosphate + CTP"	"UTP:ammonia ligase (ADP-forming)"	"K01937"	"path:map00240;path:map01100"	"sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways"
"rn:R00573"	"YBL039C;YJR103W"	" ATP + UTP + L-Glutamine + H2O <=> ADP + Orthophosphate + CTP + L-Glutamate"	"UTP:L-glutamine amido-ligase (ADP-forming)"	"K01937"	"path:map00240;path:map01100"	"sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways"
"rn:R01049"	"YBL068W;YER099C;YHL011C;YKL181W;YOL061W"	" ATP + D-Ribose 5-phosphate <=> AMP + 5-Phospho-alpha-D-ribose 1-diphosphate"	"ATP:D-ribose-5-phosphate diphosphotransferase"	"K00948"	"path:map00030;path:map00230;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230"	"sce00030  Pentose phosphate pathway;sce00230  Purine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids"
"rn:R03656"	"YBL076C;YPL040C"	" ATP + L-Isoleucine + tRNA(Ile) <=> AMP + Diphosphate + L-Isoleucyl-tRNA(Ile)"	"L-Isoleucine:tRNA(Ile) ligase (AMP-forming)"	"K01870"	"path:map00970"	"sce00970  Aminoacyl-tRNA biosynthesis"
"rn:R03905"	"YBL080C;YMR293C;YGR102C"	" Glutaminyl-tRNA + L-Glutamate + Orthophosphate + ADP <=> L-Glutamyl-tRNA(Gln) + L-Glutamine + ATP + H2O"	"Glu-tRNA(Gln):L-glutamine amido-ligase(ADP-forming)"	"K02434"	"path:map00970;path:map01100"	"sce00970  Aminoacyl-tRNA biosynthesis;sce01100  Metabolic pathways"
"rn:R04212"	"YBL080C;YMR293C"	" L-Asparaginyl-tRNA(Asn) + L-Glutamate + Orthophosphate + ADP <=> L-Aspartyl-tRNA(Asn) + L-Glutamine + ATP + H2O"	"Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)"	"K02434"	"path:map00970;path:map01100"	"sce00970  Aminoacyl-tRNA biosynthesis;sce01100  Metabolic pathways"
"rn:R06258"	"YBL082C"	"Dolichyl phosphate D-mannose + G00006 <=> Dolichyl phosphate + G10595"	"NONE"	"K03845"	"path:map00510;path:map00513;path:map01100"	"sce00510  N-Glycan biosynthesis;sce00513  Various types of N-glycan biosynthesis;sce01100  Metabolic pathways"
"rn:R01960"	"YBL098W"	" L-Kynurenine + Oxygen + NADPH + H+ <=> 3-Hydroxy-L-kynurenine + NADP+ + H2O"	"L-Kynurenine,NADPH:oxygen oxidoreductase (3-hydroxylating)"	"K00486"	"path:map00380;path:map01100"	"sce00380  Tryptophan metabolism;sce01100  Metabolic pathways"
"rn:R00010"	"YBR001C;YDR001C;YPR026W"	" alpha,alpha-Trehalose + H2O <=> 2 D-Glucose"	"alpha,alpha-trehalose glucohydrolase"	"K01194"	"path:map00500;path:map01100"	"sce00500  Starch and sucrose metabolism;sce01100  Metabolic pathways"
"rn:R05556"	"YBR002C;YDL193W;YMR101C"	" trans,trans-Farnesyl diphosphate + n Isopentenyl diphosphate <=> Dehydrodolichol diphosphate + n Diphosphate"	"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate cistransferase (adding 10-55 isopentenyl units)"	"K11778"	"path:map00900;path:map01110"	"sce00900  Terpenoid backbone biosynthesis;sce01110  Biosynthesis of secondary metabolites"
"rn:R09245"	"YBR003W"	" trans,trans-Farnesyl diphosphate + 3 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 3 Diphosphate"	"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 3 isopentenyl units)"	"K05355"	"path:map00900;path:map01110"	"sce00900  Terpenoid backbone biosynthesis;sce01110  Biosynthesis of secondary metabolites"
"rn:R09246"	"YBR003W"	" Geranylgeranyl diphosphate + 2 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 2 Diphosphate"	"geranylgeranyl-diphosphate:isopentenyl-diphosphate transferase (adding 2 isopentenyl units)"	"K05355"	"path:map00900;path:map01110"	"sce00900  Terpenoid backbone biosynthesis;sce01110  Biosynthesis of secondary metabolites"
"rn:R05921"	"YBR004C"	"Dolichyl phosphate D-mannose + G00147 <=> Dolichyl phosphate + G00148"	"NONE"	"K07542"	"path:map00563;path:map01100"	"sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;sce01100  Metabolic pathways"
"rn:R00713"	"YBR006W"	" Succinate semialdehyde + NAD+ + H2O <=> Succinate + NADH + H+"	"succinate-semialdehyde:NAD+ oxidoreductase"	"K00135"	"path:map00250;path:map00310;path:map00350;path:map00650;path:map00760;path:map01100;path:map01120"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00310  Lysine degradation;sce00350  Tyrosine metabolism;sce00650  Butanoate metabolism;sce00760  Nicotinate and nicotinamide metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"
"rn:R00714"	"YBR006W"	" Succinate semialdehyde + NADP+ + H2O <=> Succinate + NADPH + H+"	"succinate-semialdehyde:NADP+ oxidoreductase"	"K00135"	"path:map00250;path:map00310;path:map00350;path:map00650;path:map00760;path:map01100;path:map01120"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00310  Lysine degradation;sce00350  Tyrosine metabolism;sce00650  Butanoate metabolism;sce00760  Nicotinate and nicotinamide metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"
"rn:R02401"	"YBR006W"	" 5-Oxopentanoate + NAD+ + H2O <=> Glutarate + NADH + H+"	"glutarate-semialdehyde:NAD+ oxidoreductase"	"K00135"	"path:map00250;path:map00310;path:map00350;path:map00650;path:map00760;path:map01100;path:map01120"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00310  Lysine degradation;sce00350  Tyrosine metabolism;sce00650  Butanoate metabolism;sce00760  Nicotinate and nicotinamide metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"
"rn:R00955"	"YBR018C"	" UDP-glucose + alpha-D-Galactose 1-phosphate <=> D-Glucose 1-phosphate + UDP-alpha-D-galactose"	"UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase"	"K00965"	"path:map00052;path:map00520;path:map01100;path:map04917"	"sce00052  Galactose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01100  Metabolic pathways;sce04917  Prolactin signaling pathway"
"rn:R00291"	"YBR019C"	" UDP-glucose <=> UDP-alpha-D-galactose"	"UDP-glucose 4-epimerase; UDP-alpha-D-glucose 4-epimerase"	"K01784"	"path:map00052;path:map00520;path:map01100"	"sce00052  Galactose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01100  Metabolic pathways"
"rn:R02984"	"YBR019C"	" dTDP-glucose <=> dTDP-galactose"	"dTDPglucose 4-epimerase"	"K01784"	"path:map00052;path:map00520;path:map01100"	"sce00052  Galactose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01100  Metabolic pathways"
"rn:R01092"	"YBR020W;YDR009W"	" ATP + alpha-D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate"	"ATP:alpha-D-galactose 1-phosphotransferase"	"K00849"	"path:map00052;path:map00520;path:map01100"	"sce00052  Galactose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01100  Metabolic pathways"
"rn:R02335"	"YBR023C;YBR038W;YNL192W"	" UDP-N-acetyl-alpha-D-glucosamine + Chitin <=> UDP + Chitin"	"UDP-N-acetyl-D-glucosamine:chitin 4-beta-N-acetylglucosaminyl-transferase"	"K00698"	"path:map00520"	"sce00520  Amino sugar and nucleotide sugar metabolism"
"rn:R01278"	"YBR026C"	" Palmitoyl-CoA + NADP+ <=> trans-Hexadec-2-enoyl-CoA + NADPH + H+"	"hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase; trans-Hexadec-2-enoyl-CoA reductase"	"K07512"	"path:map00062;path:map01100;path:map01212"	"sce00062  Fatty acid elongation;sce01100  Metabolic pathways;sce01212  Fatty acid metabolism"
"rn:R03776"	"YBR026C"	" Octanoyl-CoA + NADP+ <=> trans-Oct-2-enoyl-CoA + NADPH + H+"	"trans-Oct-2-enoyl-CoA reductase"	"K07512"	"path:map00062;path:map01100;path:map01212"	"sce00062  Fatty acid elongation;sce01100  Metabolic pathways;sce01212  Fatty acid metabolism"
"rn:R03856"	"YBR026C"	" Lauroyl-CoA + NADP+ <=> 2-trans-Dodecenoyl-CoA + NADPH + H+"	"trans-Dodec-2-enoyl-CoA reductase"	"K07512"	"path:map00062;path:map01100;path:map01212"	"sce00062  Fatty acid elongation;sce01100  Metabolic pathways;sce01212  Fatty acid metabolism"
