mRNA	KO
genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.247-mRNA-1_1&gene=genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.247&CDS=1-1458	K03781_R00009_yHMPu5000035252_yamadazyma_nakazawae
snap_masked-NODE_44_length_67726_cov_12.4428_ID_6548-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_44_length_67726_cov_12.4428_ID_6548-processed-gene-0.1&CDS=1-1137	K00121_R06983_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_32_length_120119_cov_12.2487_ID_7593-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_32_length_120119_cov_12.2487_ID_7593-processed-gene-0.121&CDS=1-861	K01070_R00527_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_51_length_50188_cov_13.2165_ID_8443-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_51_length_50188_cov_13.2165_ID_8443-processed-gene-0.76&CDS=1-1128	K00122_R00519_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_23_length_167091_cov_13.5911_ID_21877-processed-gene-0.213-mRNA-1_1&gene=genemark-NODE_23_length_167091_cov_13.5911_ID_21877-processed-gene-0.213&CDS=1-960	K18338_R03772_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.59&CDS=1-1254	K12661_R03774_yHMPu5000035252_yamadazyma_nakazawae
augustus_masked-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.74&CDS=1-2370	YALI0F01650p_MNXR121148_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.37&CDS=1-1782	YALI0F01606g_R11461_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.52&CDS=1-453	K21911_R11333_yHMPu5000035252_yamadazyma_nakazawae
genemark-Sbay_12-processed-gene-3.92-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.92&CDS=1-1071	lad_MNXR117337_saccharomyces_uvarum
genemark-Sbay_4-processed-gene-4.22-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.22&CDS=1-1566	K00849_R01092_saccharomyces_uvarum
genemark-Sbay_2-processed-gene-2.87-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.87&CDS=1-1098	K00965_R00955_saccharomyces_uvarum
genemark-Sbay_2-processed-gene-2.88-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.88&CDS=1-2097	K01784_R00291_saccharomyces_uvarum
augustus_masked-Sbay_2-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-7.138&CDS=1-3105	K03781_R00009_saccharomyces_uvarum
genemark-Sbay_4-processed-gene-1.104-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.104&CDS=1-1155	K00121_R06983_saccharomyces_uvarum
genemark-Sbay_6-processed-gene-2.56-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-2.56&CDS=1-897	K01070_R00527_saccharomyces_uvarum
genemark-Sbay_2-processed-gene-11.170-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-11.170&CDS=1-1137	K00122_R00519_saccharomyces_uvarum
genemark-Sbay_9-processed-gene-0.49-mRNA-1_1&gene=genemark-Sbay_9-processed-gene-0.49&CDS=1-1536	inu_MNXR115392_saccharomyces_uvarum
genemark-Sbay_4-processed-gene-8.53-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.53&CDS=1-1773	YALI0F01606g_R11461_saccharomyces_uvarum
snap_masked-NODE_18_length_214091_cov_36.9011_ID_35-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_18_length_214091_cov_36.9011_ID_35-processed-gene-1.69&CDS=1-1095	lad_MNXR117337_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_81_length_9688_cov_31.3797_ID_161-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_81_length_9688_cov_31.3797_ID_161-processed-gene-0.9&CDS=1-1542	K00849_R01092_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.179-mRNA-1_1&gene=snap_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.179&CDS=1-1083	K00965_R00955_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_50_length_77115_cov_36.3192_ID_99-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_50_length_77115_cov_36.3192_ID_99-processed-gene-0.98&CDS=1-1071	K01784_R00291_yHMPu5000034675_blastobotrys_mokoenaii
maker-NODE_2_length_791592_cov_36.4955_ID_3-snap-gene-6.5-mRNA-1_1&gene=maker-NODE_2_length_791592_cov_36.4955_ID_3-snap-gene-6.5&CDS=1-1992	K03781_R00009_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-1.98-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-1.98&CDS=1-1140	K00121_R06983_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-4.107-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-4.107&CDS=1-858	K01070_R00527_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_35_length_132968_cov_35.6456_ID_69-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_35_length_132968_cov_35.6456_ID_69-processed-gene-0.47&CDS=1-1080	K00122_R00519_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-3.124-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-3.124&CDS=1-1080	K00122_R00519_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-3.106-mRNA-1_1&gene=snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-3.106&CDS=1-1221	K12661_R03774_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.171-mRNA-1_1&gene=snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.171&CDS=1-963	YALI0F01650p_MNXR121148_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.172-mRNA-1_1&gene=snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.172&CDS=1-1806	YALI0F01606g_R11461_yHMPu5000034675_blastobotrys_mokoenaii
snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.198-mRNA-1_1&gene=snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.198&CDS=1-477	K21911_R11333_yHMPu5000034675_blastobotrys_mokoenaii
augustus_masked-flattened_line_50-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.127&CDS=1-1101	lad_MNXR117337_yHMPu5000035031_candida_kruisii
augustus_masked-flattened_line_10-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.67&CDS=1-1563	K00849_R01092_yHMPu5000035031_candida_kruisii
augustus_masked-flattened_line_10-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.84&CDS=1-1089	K00965_R00955_yHMPu5000035031_candida_kruisii
augustus_masked-flattened_line_10-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.85&CDS=1-2403	K01784_R00291_yHMPu5000035031_candida_kruisii
genemark-flattened_line_8-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.55&CDS=1-1455	K03781_R00009_yHMPu5000035031_candida_kruisii
maker-flattened_line_1-augustus-gene-5.0-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-5.0&CDS=1-1140	K00121_R06983_yHMPu5000035031_candida_kruisii
genemark-flattened_line_60-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.114&CDS=1-870	K01070_R00527_yHMPu5000035031_candida_kruisii
augustus_masked-flattened_line_76-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.23&CDS=1-1146	K00122_R00519_yHMPu5000035031_candida_kruisii
augustus_masked-flattened_line_4-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.27&CDS=1-855	YALI0F01650p_MNXR121148_yHMPu5000035031_candida_kruisii
genemark-flattened_line_32-processed-gene-1.173-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.173&CDS=1-1767	YALI0F01606g_R11461_yHMPu5000035031_candida_kruisii
genemark-flattened_line_23-processed-gene-1.149-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.149&CDS=1-1086	lad_MNXR117337_yHMPu5000034758_lipomyces_japonicus
genemark-flattened_line_163-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_163-processed-gene-0.39&CDS=1-1560	K00849_R01092_yHMPu5000034758_lipomyces_japonicus
genemark-flattened_line_105-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.107&CDS=1-1062	K01784_R00291_yHMPu5000034758_lipomyces_japonicus
genemark-flattened_line_188-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_188-processed-gene-0.19&CDS=1-1131	K00121_R06983_yHMPu5000034758_lipomyces_japonicus
genemark-flattened_line_57-processed-gene-0.214-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.214&CDS=1-897	K01070_R00527_yHMPu5000034758_lipomyces_japonicus
genemark-flattened_line_159-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.51&CDS=1-1053	K18338_R03772_yHMPu5000034758_lipomyces_japonicus
genemark-flattened_line_159-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.38&CDS=1-936	YALI0F01650p_MNXR121148_yHMPu5000034758_lipomyces_japonicus
genemark-flattened_line_159-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.39&CDS=1-1776	YALI0F01606g_R11461_yHMPu5000034758_lipomyces_japonicus
genemark-flattened_line_159-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.53&CDS=1-504	K21911_R11333_yHMPu5000034758_lipomyces_japonicus
augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.94&CDS=1-1092	lad_MNXR117337_yHMPu5000034890_ogataea_ramenticola
maker-NODE_21_length_225364_cov_160.608_ID_41-snap-gene-1.182-mRNA-1_1&gene=maker-NODE_21_length_225364_cov_160.608_ID_41-snap-gene-1.182&CDS=1-5559	K00849_R01092_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.146&CDS=1-2091	K01784_R00291_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.190-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.190&CDS=1-1989	K17066_R00608_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.101&CDS=1-1533	K03781_R00009_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-1.6&CDS=1-2142	dha1_R01440_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.6&CDS=1-1140	K00121_R06983_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.109&CDS=1-888	K01070_R00527_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.58&CDS=1-1095	K00122_R00519_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.70&CDS=1-1251	K12661_R03774_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.118&CDS=1-846	YALI0F01650p_MNXR121148_yHMPu5000034890_ogataea_ramenticola
maker-NODE_13_length_439646_cov_107.886_ID_25-augustus-gene-0.40-mRNA-1_1&gene=maker-NODE_13_length_439646_cov_107.886_ID_25-augustus-gene-0.40&CDS=1-3543	YALI0F01606g_R11461_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.61&CDS=1-1542	K02575_MNXR101912_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.60&CDS=1-2709	K10534_R00794_yHMPu5000034890_ogataea_ramenticola
augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.62&CDS=1-3294	K17877_R00787_yHMPu5000034890_ogataea_ramenticola
maker-LQHL01001605.1-snap-gene-0.5-mRNA-1_1&gene=maker-LQHL01001605.1-snap-gene-0.5&CDS=1-1548	K00849_R01092_spathaspora_hagerdaliae
maker-LQHL01001722.1-snap-gene-0.56-mRNA-1_1&gene=maker-LQHL01001722.1-snap-gene-0.56&CDS=1-2049	K00965_R00955_spathaspora_hagerdaliae
genemark-LQHL01001722.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001722.1-processed-gene-0.17&CDS=1-2058	K01784_R00291_spathaspora_hagerdaliae
genemark-LQHL01001621.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001621.1-processed-gene-0.13&CDS=1-1455	K03781_R00009_spathaspora_hagerdaliae
genemark-LQHL01001822.1-processed-gene-0.42-mRNA-1_1&gene=genemark-LQHL01001822.1-processed-gene-0.42&CDS=1-1140	K00121_R06983_spathaspora_hagerdaliae
genemark-LQHL01001762.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001762.1-processed-gene-0.13&CDS=1-855	K01070_R00527_spathaspora_hagerdaliae
genemark-LQHL01001763.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001763.1-processed-gene-0.12&CDS=1-1125	K00122_R00519_spathaspora_hagerdaliae
genemark-LQHL01001663.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001663.1-processed-gene-0.8&CDS=1-840	YALI0F01650p_MNXR121148_spathaspora_hagerdaliae
genemark-LQHL01001832.1-processed-gene-0.63-mRNA-1_1&gene=genemark-LQHL01001832.1-processed-gene-0.63&CDS=1-1794	YALI0F01606g_R11461_spathaspora_hagerdaliae
-processed-gene-17.172-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-17.172&CDS=1-1056	lad_MNXR117337_priceomyces_haplophilus
-processed-gene-9.125-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.125&CDS=1-1551	K00849_R01092_priceomyces_haplophilus
-processed-gene-9.97-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.97&CDS=1-1137	K00965_R00955_priceomyces_haplophilus
-processed-gene-9.96-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.96&CDS=1-2046	K01784_R00291_priceomyces_haplophilus
-processed-gene-4.118-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-4.118&CDS=1-1452	K03781_R00009_priceomyces_haplophilus
-snap-gene-8.107-mRNA-1_1&gene=maker-gi|1002316137|dbj|BCIF01000003.1|-snap-gene-8.107&CDS=1-1140	K00121_R06983_priceomyces_haplophilus
-processed-gene-17.115-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-17.115&CDS=1-3027	K01070_R00527_priceomyces_haplophilus
-processed-gene-1.13-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-1.13&CDS=1-1134	K00122_R00519_priceomyces_haplophilus
-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-5.5&CDS=1-3606	YALI0F01650p_MNXR121148_priceomyces_haplophilus
-processed-gene-9.152-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.152&CDS=1-1794	YALI0F01606g_R11461_priceomyces_haplophilus
-processed-gene-9.118-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.118&CDS=1-468	K21911_R11333_priceomyces_haplophilus
