"ID"	"NAME"	"EQUATION"	"EC.NUMBER"	"GENE.ASSOCIATION"	"LOWER.BOUND"	"UPPER.BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT.ID"	"NOTE"	"REFERENCE"	"CONFIDENCE.SCORE"	"other"
"R00366"	"glycine:oxygen oxidoreductase (deaminating);"	"H2O[s] + Oxygen[s] + Glycine[s] <=> Ammonia[s] + Hydrogen peroxide[s] + Glyoxylate[s]"	"ec-code/1.4.3.3;ec-code/1.4.3.19"	"Metschnikowia_matae@Seq_2628 or Nadsonia_fulvescens_var_elongata@Seq_5575 or yHMPu5000035675_Kregervanrija_fluxuum@Seq_5298 or yHMPu5000034918_Nakazawaea_holstii@Seq_4643 or Coccidioides_immitis@Seq_4755 or yHMPu5000041833_Candida_tammaniensis@Seq_4018 or Metschnikowia_dekortum@Seq_167 or Sclerotinia_sclerotiorum@Seq_7576"	-1000	1000	NA	NA	"kegg.reaction/R00366;kegg.pathway/rn00260;kegg.orthology/K00273;rhea/11535"	"Glycine, serine and threonine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00401"	"alanine racemase"	"L-Alanine[s] <=> D-Alanine[s]"	"ec-code/5.1.1.1"	"Schizosaccharomyces_pombe@Seq_5043"	-1000	1000	NA	NA	"kegg.reaction/R00401;kegg.pathway/rn00473;kegg.orthology/K01775;rhea/20252"	"D-Alanine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00409"	"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)"	"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate[s] <=> Pyruvate[s] + Succinate[s]"	"ec-code/4.1.3.30"	"Aspergillus_nidulans@Seq_1712 or Aspergillus_nidulans@Seq_8123"	-1000	1000	NA	NA	"kegg.reaction/R00409;kegg.pathway/rn00640;kegg.orthology/K03417;rhea/16812"	"Propanoate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00410"	"succinyl-CoA:acetoacetate CoA-transferase"	"Succinyl-CoA[s] + Acetoacetate[s] <=> Succinate[s] + Acetoacetyl-CoA[s]"	"ec-code/2.8.3.5"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_1804 or Arxula_adeninivorans@Seq_862 or Neurospora_crassa@Seq_7678 or yHMPu5000035318_Hyphopichia_heimii@Seq_2700 or yHMPu5000035318_Hyphopichia_heimii@Seq_4588"	-1000	1000	NA	NA	"kegg.reaction/R00410;kegg.pathway/rn00072;kegg.pathway/rn00280;kegg.pathway/rn00650;kegg.orthology/K01027;rhea/25483"	"Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Butanoate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00461"	"L-Lysine 2,3-aminomutase"	"L-Lysine[s] => (3S)-3,6-Diaminohexanoate[s]"	"ec-code/5.4.3.2"	"Sclerotinia_sclerotiorum@Seq_13076"	0	1000	NA	NA	"kegg.reaction/R00461;kegg.pathway/rn00310;kegg.orthology/K01843;rhea/19180"	"Lysine degradation"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00465"	"glycolate:NADP+ oxidoreductase"	"NADP+[s] + Glycolate[s] <=> NADPH[s] + Glyoxylate[s] + H+[s]"	"ec-code/1.1.1.79"	"Stagonospora_nodorum@Seq_4130"	-1000	1000	NA	NA	"kegg.reaction/R00465;kegg.pathway/rn00630;kegg.orthology/K00049;rhea/10995"	"Glyoxylate and dicarboxylate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00469"	"(S)-ureidoglycolate amidohydrolase (decarboxylating)"	"H2O[s] + (S)-Ureidoglycolate[s] <=> CO2[s] + 2 Ammonia[s] + Glyoxylate[s]"	"ec-code/3.5.1.116"	"yHMPu5000035296_Priceomyces_carsonii@Seq_5126 or Metschnikowia_continentalis@Seq_2992 or yHMPu5000034932_Kuraishia_ogatae@Seq_2059"	-1000	1000	NA	NA	"kegg.reaction/R00469;kegg.pathway/rn00230;kegg.orthology/K18151;rhea/19812"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00470"	"4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)"	"4-Hydroxy-2-oxoglutarate[s] <=> Pyruvate[s] + Glyoxylate[s]"	"ec-code/4.1.3.16;ec-code/4.1.3.42"	"yHMPu5000034761_Lipomyces_lipofer@Seq_4034 or yHMPu5000035665_Middelhovenomyces_tepae@Seq_2884 or Xylona_heveae@Seq_7237 or yHMPu5000035691_Candida_salmanticensis@Seq_4475 or Stagonospora_nodorum@Seq_5893 or Fusarium_graminearum@Seq_6383 or Neurospora_crassa@Seq_589 or Aspergillus_nidulans@Seq_5844 or yHMPu5000034675_Blastobotrys_mokoenaii@Seq_761 or yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_2821"	-1000	1000	NA	NA	"kegg.reaction/R00470;kegg.pathway/rn00630;kegg.orthology/K18123;rhea/18172"	"Glyoxylate and dicarboxylate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00471"	"4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)"	"(4R)-4-Hydroxy-2-oxoglutarate[s] <=> Pyruvate[s] + Glyoxylate[s]"	"ec-code/4.1.3.16"	"yHMPu5000034761_Lipomyces_lipofer@Seq_4034 or yHMPu5000035665_Middelhovenomyces_tepae@Seq_2884 or Xylona_heveae@Seq_7237 or yHMPu5000035691_Candida_salmanticensis@Seq_4475 or Stagonospora_nodorum@Seq_5893 or Fusarium_graminearum@Seq_6383 or Neurospora_crassa@Seq_589 or Aspergillus_nidulans@Seq_5844 or yHMPu5000034675_Blastobotrys_mokoenaii@Seq_761 or yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_2821"	-1000	1000	NA	NA	"kegg.reaction/R00471;kegg.pathway/rn00330;kegg.orthology/K18123;rhea/30690"	"Arginine and proline metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00475"	"glycolate:oxygen 2-oxidoreductase"	"Oxygen[s] + Glycolate[s] <=> Hydrogen peroxide[s] + Glyoxylate[s]"	"ec-code/1.1.3.15"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3696 or yHMPu5000035650_Trigonopsis_variabilis@Seq_3837 or yHMPu5000035665_Middelhovenomyces_tepae@Seq_477 or yHMPu5000034667_Blastobotrys_serpentis@Seq_5053"	-1000	1000	NA	NA	"kegg.reaction/R00475;kegg.pathway/rn00630;kegg.module/M00532;kegg.orthology/K11517;rhea/25314"	"Glyoxylate and dicarboxylate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00511"	"cytidine-5'-monophosphate phosphohydrolase"	"H2O[s] + CMP[s] => Orthophosphate[s] + Cytidine[s]"	"ec-code/3.1.3.5;ec-code/3.1.3.91"	"yHMPu5000034904_Ogataea_nonfermentans@Seq_2519 or Fusarium_graminearum@Seq_4952"	0	1000	NA	NA	"kegg.reaction/R00511;kegg.pathway/rn00240;kegg.orthology/K03787;kegg.orthology/K19970;rhea/29370"	"Pyrimidine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00522"	"Oxalate carboxy-lyase"	"Oxalate[s] <=> CO2[s] + Formate[s]"	"ec-code/4.1.1.2"	"Stagonospora_nodorum@Seq_926"	-1000	1000	NA	NA	"kegg.reaction/R00522;kegg.pathway/rn00630;kegg.orthology/K01569;rhea/16512"	"Glyoxylate and dicarboxylate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00524"	"Formamide amidohydrolase"	"H2O[s] + Formamide[s] <=> Ammonia[s] + Formate[s]"	"ec-code/3.5.1.49"	"Lipomyces_starkeyi@Seq_4667"	-1000	1000	NA	NA	"kegg.reaction/R00524;kegg.pathway/rn00460;kegg.pathway/rn00630;kegg.pathway/rn00910;kegg.orthology/K01455;rhea/21951"	"Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00533"	"Sulfite:oxygen oxidoreductase"	"H2O[s] + Oxygen[s] + Sulfite[s] <=> Hydrogen peroxide[s] + Sulfate[s]"	"ec-code/1.8.3.1"	"Neurospora_crassa@Seq_8391 or Fusarium_graminearum@Seq_5125 or yHMPu5000026142_Citeromyces_matritensis@Seq_1750 or Stagonospora_nodorum@Seq_10607"	-1000	1000	NA	NA	"kegg.reaction/R00533;kegg.pathway/rn00920;kegg.orthology/K00387;rhea/24603"	"Sulfur metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00565"	"L-Arginine:glycine amidinotransferase"	"Glycine[s] + L-Arginine[s] <=> L-Ornithine[s] + Guanidinoacetate[s]"	"ec-code/2.1.4.1"	"Neurospora_crassa@Seq_7453"	-1000	1000	NA	NA	"kegg.reaction/R00565;kegg.pathway/rn00260;kegg.pathway/rn00330;kegg.module/M00047;kegg.orthology/K00613;rhea/13204"	"Glycine, serine and threonine metabolism;Arginine and proline metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00586"	"acetyl-CoA:L-serine O-acetyltransferase"	"Acetyl-CoA[s] + L-Serine[s] <=> CoA[s] + O-Acetyl-L-serine[s]"	"ec-code/2.3.1.30"	"Schizosaccharomyces_pombe@Seq_4127"	-1000	1000	NA	NA	"kegg.reaction/R00586;kegg.pathway/rn00270;kegg.pathway/rn00920;kegg.pathway/rn00999;kegg.module/M00021;kegg.orthology/K00640;rhea/24563"	"Cysteine and methionine metabolism;Sulfur metabolism;Biosynthesis of secondary metabolites - unclassified"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00608"	"Methanol:oxygen oxidereductase"	"Oxygen[s] + Methanol[s] <=> Hydrogen peroxide[s] + Formaldehyde[s]"	"ec-code/1.1.3.13"	"yHMPu5000026274_Komagataella_populi@Seq_2009"	-1000	1000	NA	NA	"kegg.reaction/R00608;kegg.pathway/rn00680;kegg.module/M00174;kegg.orthology/K17066"	"Methane metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00610"	"sarcosine:oxygen oxidoreductase (demethylating)"	"H2O[s] + Oxygen[s] + Sarcosine[s] <=> Hydrogen peroxide[s] + Glycine[s] + Formaldehyde[s]"	"ec-code/1.5.3.1"	"yHMPu5000034897_Ogataea_glucozyma@Seq_5556 or Aspergillus_nidulans@Seq_2256 or Kuraishia_capsulata@Seq_4378 or yHMPu5000041863_Candida_gorgasii@Seq_1079 or yHMPu5000034893_Ogataea_philodendra@Seq_1202 or Pachysolen_tannophilus@Seq_4885 or Kuraishia_capsulata@Seq_3075 or yHMPu5000026197_Brettanomyces_custersianus@Seq_3602 or yHMPu5000035296_Priceomyces_carsonii@Seq_1208 or Fusarium_graminearum@Seq_9926 or Aspergillus_nidulans@Seq_1695 or Arthrobotrys_oligospora@Seq_9535 or Stagonospora_nodorum@Seq_6230 or Ambrosiozyma_monospora@Seq_6306 or Alloascoidea_hylecoeti@Seq_452"	-1000	1000	NA	NA	"kegg.reaction/R00610;kegg.pathway/rn00260;kegg.orthology/K00306;rhea/13316"	"Glycine, serine and threonine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00611"	"sarcosine:electron-transfer flavoprotein oxidoreductase (demethylating)"	"H2O[s] + Sarcosine[s] + Electron-transferring flavoprotein[s] <=> Glycine[s] + Formaldehyde[s] + Reduced electron-transferring flavoprotein[s]"	"ec-code/1.5.8.3"	"Aspergillus_nidulans@Seq_10124"	-1000	1000	NA	NA	"kegg.reaction/R00611;kegg.pathway/rn00260;kegg.orthology/K00314;rhea/19796"	"Glycine, serine and threonine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00648"	"L-Methionine:oxygen oxidoreductase (deaminating)"	"H2O[s] + Oxygen[s] + L-Methionine[s] <=> Ammonia[s] + Hydrogen peroxide[s] + 4-Methylthio-2-oxobutanoic acid[s]"	"ec-code/1.4.3.2"	"Neurospora_crassa@Seq_10341"	-1000	1000	NA	NA	"kegg.reaction/R00648;kegg.pathway/rn00270;kegg.orthology/K03334"	"Cysteine and methionine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00669"	"N2-Acetyl-L-ornithine amidohydrolase"	"H2O[s] + N-Acetylornithine[s] <=> Acetate[s] + L-Ornithine[s]"	"ec-code/3.5.1.14;ec-code/3.5.1.16"	"yHMPu5000034946_Ambrosiozyma_oregonensis@Seq_4749"	-1000	1000	NA	NA	"kegg.reaction/R00669;kegg.pathway/rn00220;kegg.module/M00028;kegg.orthology/K01438;rhea/15944"	"Arginine biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00674"	"L-serine hydro-lyase (adding indole; L-tryptophan-forming)"	"L-Serine[s] + Indole[s] <=> H2O[s] + L-Tryptophan[s]"	"ec-code/4.2.1.20;ec-code/4.2.1.122"	"Komagataella_pastoris@Seq_4201"	-1000	1000	NA	NA	"kegg.reaction/R00674;kegg.pathway/rn00400;kegg.orthology/K01696;kegg.orthology/K06001;rhea/26437"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00677"	"L-Tryptophan:oxygen oxidoreductase (deaminating)"	"H2O[s] + Oxygen[s] + L-Tryptophan[s] <=> Ammonia[s] + Hydrogen peroxide[s] + Indolepyruvate[s]"	"ec-code/1.4.3.2"	"Neurospora_crassa@Seq_10341"	-1000	1000	NA	NA	"kegg.reaction/R00677;kegg.pathway/rn00380;kegg.orthology/K03334"	"Tryptophan metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00684"	"L-Tryptophan:2-oxoglutarate aminotransferase"	"2-Oxoglutarate[s] + L-Tryptophan[s] <=> L-Glutamate[s] + Indolepyruvate[s]"	"ec-code/2.6.1.27"	"Aspergillus_nidulans@Seq_6797"	-1000	1000	NA	NA	"kegg.reaction/R00684;kegg.pathway/rn00380;kegg.orthology/K14265;rhea/14096"	"Tryptophan metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00685"	"L-tryptophan decarboxy-lyase"	"L-Tryptophan[s] <=> CO2[s] + Tryptamine[s]"	"ec-code/4.1.1.28;ec-code/4.1.1.105"	"Fusarium_graminearum@Seq_7817 or Fusarium_graminearum@Seq_13318"	-1000	1000	NA	NA	"kegg.reaction/R00685;kegg.pathway/rn00380;kegg.pathway/rn00901;kegg.orthology/K01593;rhea/30342"	"Tryptophan metabolism;Indole alkaloid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00689"	"L-Phenylalanine:oxygen oxidoreductase (deaminating)"	"H2O[s] + Oxygen[s] + L-Phenylalanine[s] <=> Ammonia[s] + Hydrogen peroxide[s] + Phenylpyruvate[s]"	"ec-code/1.4.3.2"	"Neurospora_crassa@Seq_10341"	-1000	1000	NA	NA	"kegg.reaction/R00689;kegg.pathway/rn00360;kegg.pathway/rn00400;kegg.orthology/K03334"	"Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
