"EC"	"query"
"1.7.1.2"	"yHMPu5000034952_Citeromyces_siamensis@Seq_8038"
"1.7.1.3"	"yHMPu5000034952_Citeromyces_siamensis@Seq_8038"
"3.5.2.2"	"yHMPu5000035672_Phaffomyces_thermotolerans@Seq_201"
"1.1.1.399"	"Coccidioides_immitis@Seq_418"
"1.1.1.95"	"Coccidioides_immitis@Seq_418"
"1.7.1.4"	"yHMPu5000034979_Cyberlindnera_misumaiensis@Seq_1844"
"3.2.1.177"	"Aspergillus_nidulans@Seq_5838"
"3.5.1.124"	"yHMPu5000035659_Saturnispora_dispora@Seq_2102"
"4.2.1.130"	"yHMPu5000035659_Saturnispora_dispora@Seq_2102"
"3.2.1.59"	"Botrytis_cinerea@Seq_15715"
"1.14.11.38"	"Aspergillus_nidulans@Seq_7590"
"3.2.1.99"	"Aspergillus_nidulans@Seq_510"
"1.14.13.7"	"Aspergillus_nidulans@Seq_6504"
"2.1.1.137"	"yHMPu5000034761_Lipomyces_lipofer@Seq_4558"
"3.4.14.10"	"Schizosaccharomyces_pombe@Seq_1996"
"4.2.1.146"	"yHMPu5000034952_Citeromyces_siamensis@Seq_8682"
"4.2.1.68"	"yHMPu5000034952_Citeromyces_siamensis@Seq_8682"
"3.2.1.8"	"Stagonospora_nodorum@Seq_7042"
"4.2.2.23"	"Arthrobotrys_oligospora@Seq_3816"
"3.6.3.6"	"Metschnikowia_bowlesiae@Seq_1429"
"1.13.12.4"	"Lachancea_fermentati@Seq_2357"
"3.7.1.2"	"yHMPu5000034673_Blastobotrys_nivea@Seq_7763"
"1.14.13.176"	"Coccidioides_immitis@Seq_1149"
"3.2.1.22"	"Lachancea_nothofagi@Seq_1209"
"3.2.1.10"	"yHMPu5000034761_Lipomyces_lipofer@Seq_981"
"3.2.1.20"	"yHMPu5000034761_Lipomyces_lipofer@Seq_981"
"4.2.1.6"	"Lipomyces_starkeyi@Seq_2285"
"4.1.1.105"	"Fusarium_graminearum@Seq_7817"
"4.1.1.28"	"Fusarium_graminearum@Seq_7817"
"1.14.13.78"	"Aspergillus_nidulans@Seq_8578"
"1.1.1.250"	"Lachancea_dasiensis@Seq_2651"
"3.3.2.9"	"Aspergillus_nidulans@Seq_2036"
"1.1.1.289"	"yHMPu5000035633_Candida_hispaniensis@Seq_2087"
"1.14.13.96"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_3925"
"1.14.18.8"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_3925"
"3.1.1.11"	"Sclerotinia_sclerotiorum@Seq_3200"
"3.5.3.11"	"yHMPu5000035658_Starmera_amethionina@Seq_2597"
"1.14.11.2"	"Stagonospora_nodorum@Seq_7070"
"1.1.1.358"	"Ascoidea_asiatica@Seq_615"
"3.2.1.23"	"yHMPu5000034902_Ogataea_minuta@Seq_1591"
"4.1.99.22"	"yHMPu5000034952_Citeromyces_siamensis@Seq_11255"
"4.6.1.17"	"yHMPu5000034952_Citeromyces_siamensis@Seq_11255"
"3.1.4.1"	"yHMPu5000034670_Blastobotrys_proliferans@Seq_4485"
"1.14.11.16"	"Fusarium_graminearum@Seq_4319"
"3.2.1.22"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_23"
"1.4.3.4"	"yHMPu5000035282_Trigonopsis_vinaria@Seq_5166"
"3.1.1.47"	"Arthrobotrys_oligospora@Seq_1160"
"1.14.13.7"	"Spathaspora_gorwiae@Seq_3979"
"1.5.3.1"	"Arthrobotrys_oligospora@Seq_9535"
"1.5.3.7"	"Arthrobotrys_oligospora@Seq_9535"
"3.1.6.1"	"yHMPu5000035633_Candida_hispaniensis@Seq_4146"
"3.2.1.4"	"Arthrobotrys_oligospora@Seq_2615"
"3.2.1.91"	"Arthrobotrys_oligospora@Seq_2615"
"1.14.18.1"	"Arthrobotrys_oligospora@Seq_11262"
"6.3.5.4"	"Aspergillus_nidulans@Seq_6735"
"3.4.23.24"	"yHMPu5000034665_Kodamaea_laetipori@Seq_5472"
"3.2.1.52"	"yHMPu5000034673_Blastobotrys_nivea@Seq_487"
"1.1.1.399"	"yHAB155_Kazachstania_spencerorum@Seq_2282"
"1.1.1.95"	"yHAB155_Kazachstania_spencerorum@Seq_2282"
"1.14.13.78"	"Aspergillus_nidulans@Seq_4230"
"3.2.1.91"	"Arthrobotrys_oligospora@Seq_7226"
"1.4.3.3"	"yHMPu5000035044_Barnettozyma_californica@Seq_1799"
"1.1.1.31"	"Babjeviella_inositovora@Seq_4035"
"1.14.19.18"	"yHMPu5000035675_Kregervanrija_fluxuum@Seq_2698"
"3.4.21.26"	"yHMPu5000034673_Blastobotrys_nivea@Seq_6968"
"6.4.1.1"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_5483"
"2.1.1.77"	"Lipomyces_starkeyi@Seq_7530"
"1.17.1.4"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"
"1.17.3.2"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"
"1.14.11.2"	"Stagonospora_nodorum@Seq_2387"
"4.2.1.17"	"Alloascoidea_hylecoeti@Seq_8346"
"3.2.1.78"	"Stagonospora_nodorum@Seq_2242"
"3.6.1.28"	"Stagonospora_nodorum@Seq_9863"
"2.3.2.24"	"Aspergillus_nidulans@Seq_10286"
"1.14.19.18"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_6749"
"3.4.13.19"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_167"
"3.5.1.23"	"Aspergillus_nidulans@Seq_9522"
"2.1.1.37"	"Sclerotinia_sclerotiorum@Seq_7840"
"2.1.1.10"	"Candida_versatilis@Seq_1705"
"1.14.13.12"	"Fusarium_graminearum@Seq_12588"
"2.1.1.137"	"yHMPu5000034761_Lipomyces_lipofer@Seq_5312"
"1.4.3.4"	"Xylona_heveae@Seq_7565"
"2.7.11.2"	"Metschnikowia_borealis@Seq_2516"
"3.4.13.19"	"yHMPu5000035699_Cyberlindnera_maclurae@Seq_5658"
"3.2.1.10"	"yHMPu5000041678_Debaryomyces_prosopidis@Seq_3265"
"3.2.1.20"	"yHMPu5000041678_Debaryomyces_prosopidis@Seq_3265"
"1.14.19.18"	"Spathaspora_hagerdaliae@Seq_1974"
"1.4.3.1"	"yHMPu5000035675_Kregervanrija_fluxuum@Seq_5298"
"1.4.3.3"	"yHMPu5000035675_Kregervanrija_fluxuum@Seq_5298"
"5.5.1.9"	"Fusarium_graminearum@Seq_9140"
"3.2.1.4"	"Neurospora_crassa@Seq_7496"
"2.3.1.45"	"Fusarium_graminearum@Seq_5551"
"3.2.1.8"	"Sclerotinia_sclerotiorum@Seq_455"
"3.1.11.5"	"Candida_versatilis@Seq_2963"
"3.1.21.7"	"Candida_versatilis@Seq_2963"
"1.1.1.353"	"yHMPu5000034673_Blastobotrys_nivea@Seq_1414"
"4.2.1.6"	"Aspergillus_nidulans@Seq_152"
"2.4.1.144"	"Neurospora_crassa@Seq_3163"
"1.2.4.4"	"Arthrobotrys_oligospora@Seq_4636"
"3.2.1.151"	"Botrytis_cinerea@Seq_16270"
"1.1.1.372"	"yHMPu5000034754_Lipomyces_arxii@Seq_620"
"1.7.1.4"	"yHMPu5000034947_Ambrosiozyma_philentoma@Seq_3605"
"3.5.1.49"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_6687"
"2.4.2.29"	"Botrytis_cinerea@Seq_7701"
"3.2.1.80"	"Aspergillus_nidulans@Seq_2517"
"4.2.1.46"	"Nadsonia_fulvescens_var_elongata@Seq_4752"
"2.8.3.5"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2857"
"6.2.1.17"	"Neurospora_crassa@Seq_7516"
"1.6.99.1"	"yHAB154_Kazachstania_transvaalensis@Seq_1226"
"1.14.13.1"	"Aspergillus_nidulans@Seq_2050"
"4.2.2.10"	"Sclerotinia_sclerotiorum@Seq_10819"
"1.3.1.10"	"yHMPu5000034615_Saturnispora_zaruensis@Seq_593"
"1.3.1.9"	"yHMPu5000034615_Saturnispora_zaruensis@Seq_593"
"3.1.1.72"	"Neurospora_crassa@Seq_1522"
"3.1.3.5"	"Candida_sojae@Seq_2577"
"3.2.1.52"	"Aspergillus_nidulans@Seq_788"
"3.2.1.22"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_4464"
"1.13.11.27"	"yHMPu5000034952_Citeromyces_siamensis@Seq_4669"
"3.1.11.1"	"yHMPu5000034761_Lipomyces_lipofer@Seq_5323"
"2.4.1.231"	"Aspergillus_nidulans@Seq_1084"
"3.1.3.5"	"Cyberlindnera_jadinii@Seq_1872"
"3.2.1.23"	"Aspergillus_nidulans@Seq_7129"
"3.2.1.18"	"yHMPu5000034761_Lipomyces_lipofer@Seq_1498"
"1.1.1.67"	"yHMPu5000035651_Torulaspora_microellipsoides@Seq_1084"
"1.1.1.365"	"yHMPu5000034754_Lipomyces_arxii@Seq_6741"
"1.14.13.1"	"Spathaspora_gorwiae@Seq_1395"
"3.6.3.6"	"Metschnikowia_dekortum@Seq_1111"
"1.6.99.1"	"yHMPu5000034866_Zygosaccharomyces_bisporus@Seq_459"
"2.7.1.49"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_5931"
"2.7.4.7"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_5931"
"3.5.99.2"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_5931"
"3.1.1.79"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_2585"
"1.14.11.13"	"yHMPu5000034932_Kuraishia_ogatae@Seq_4979"
"2.7.1.49"	"Schizosaccharomyces_pombe@Seq_1524"
"2.7.4.7"	"Schizosaccharomyces_pombe@Seq_1524"
"3.5.99.2"	"Schizosaccharomyces_pombe@Seq_1524"
"4.1.1.7"	"Candida_versatilis@Seq_2425"
"1.14.19.18"	"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_3292"
"3.2.1.23"	"Lipomyces_starkeyi@Seq_5342"
"2.3.2.15"	"Schizosaccharomyces_pombe@Seq_1281"
"3.2.1.40"	"yHMPu5000034675_Blastobotrys_mokoenaii@Seq_4984"
"1.1.1.250"	"yHMPu5000034887_Ogataea_trehaloabstinens@Seq_1110"
"1.6.99.1"	"yHMPu5000034990_Candida_corydali@Seq_4353"
"1.1.1.289"	"yHMPu5000035691_Candida_salmanticensis@Seq_3908"
"3.2.1.52"	"yHMPu5000034673_Blastobotrys_nivea@Seq_2796"
"1.14.19.18"	"Lachancea_thermotolerans@Seq_402"
"3.6.3.10"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_6725"
"3.6.3.9"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_6725"
"3.2.1.22"	"yHMPu5000034757_Lipomyces_doorenjongii@Seq_4851"
"1.5.3.1"	"yHMPu5000041678_Debaryomyces_prosopidis@Seq_738"
"1.5.3.7"	"yHMPu5000041678_Debaryomyces_prosopidis@Seq_738"
"2.7.7.48"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_5242"
"4.2.1.130"	"Metschnikowia_matae_maris@Seq_6223"
"2.1.1.67"	"Yarrowia_deformans@Seq_5424"
"1.2.3.15"	"Neurospora_crassa@Seq_9009"
"2.4.2.30"	"Fusarium_graminearum@Seq_13079"
"3.2.1.45"	"yHMPu5000034957_Hanseniaspora_osmophila@Seq_444"
"1.14.14.5"	"yHMPu5000034862_Zygotorulaspora_florentina@Seq_1344"
"3.6.3.6"	"Metschnikowia_proteae@Seq_4570"
"3.2.1.172"	"Aspergillus_nidulans@Seq_9232"
"2.4.1.183"	"Aspergillus_nidulans@Seq_6498"
"1.14.19.18"	"Sclerotinia_sclerotiorum@Seq_4921"
"1.7.1.1"	"yHMPu5000034978_Cyberlindnera_mrakii@Seq_3847"
"1.7.1.2"	"yHMPu5000034978_Cyberlindnera_mrakii@Seq_3847"
"1.7.1.3"	"yHMPu5000034978_Cyberlindnera_mrakii@Seq_3847"
"2.3.1.45"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_7648"
"1.4.3.3"	"yHMPu5000035044_Barnettozyma_californica@Seq_1353"
"4.2.1.130"	"yHMPu5000034754_Lipomyces_arxii@Seq_6876"
"1.5.3.1"	"Aspergillus_nidulans@Seq_2256"
"1.5.3.7"	"Aspergillus_nidulans@Seq_2256"
"1.1.1.343"	"yHMPu5000035684_Kloeckera_hatyaiensis@Seq_2575"
"1.1.1.44"	"yHMPu5000035684_Kloeckera_hatyaiensis@Seq_2575"
"4.2.1.130"	"Metschnikowia_santaceciliae@Seq_2936"
"1.5.1.40"	"yHMPu5000034932_Kuraishia_ogatae@Seq_2879"
"2.8.3.5"	"yHMPu5000035318_Hyphopichia_heimii@Seq_2700"
"4.2.1.69"	"Fusarium_graminearum@Seq_10910"
"3.2.1.4"	"Arthrobotrys_oligospora@Seq_2712"
"3.1.1.72"	"Arthrobotrys_oligospora@Seq_7725"
"3.2.1.91"	"Stagonospora_nodorum@Seq_9808"
"1.4.3.1"	"yHMPu5000035672_Phaffomyces_thermotolerans@Seq_4825"
"1.4.3.1"	"Metschnikowia_ipomoeae@Seq_1703"
"1.4.3.3"	"Metschnikowia_ipomoeae@Seq_1703"
"1.1.99.1"	"Candida_versatilis@Seq_715"
"3.7.1.2"	"Aspergillus_nidulans@Seq_2067"
"1.14.14.29"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_3494"
"3.2.1.4"	"Arthrobotrys_oligospora@Seq_10690"
"1.14.13.8"	"Fusarium_graminearum@Seq_11720"
